Date,9am Relative Humidity (%),3pm Relative Humidity (%),9am MSL Pressure (hPa),3pm MSL Pressure (hPa),Station Name,Region Name
1990-01-01,69,87,1010.0769854186241,1009.4075443219257,Manjimup,"Southwest, Western Australia"
1990-01-02,96,59,1010.4879631593885,1011.2769460249766,Manjimup,"Southwest, Western Australia"
1990-01-03,75,60,1004.5854747698603,1000.9202930180086,Manjimup,"Southwest, Western Australia"
1990-01-04,60,74,1015.3460139593878,1012.8471239612313,Manjimup,"Southwest, Western Australia"
1990-01-05,88,57,1014.7391896250341,1014.4490524939366,Manjimup,"Southwest, Western Australia"
1990-01-06,85,66,1014.9460826488812,1012.9866163852552,Manjimup,"Southwest, Western Australia"
1990-01-07,89,69,1009.4092432020293,1012.3519335278344,Manjimup,"Southwest, Western Australia"
1990-01-08,89,59,1008.1067447944929,1003.6176822371746,Manjimup,"Southwest, Western Australia"
1990-01-09,68,84,1009.4248727130812,1008.1453978577848,Manjimup,"Southwest, Western Australia"
1990-01-10,69,56,1015.2216775070791,1013.3871478269384,Manjimup,"Southwest, Western Australia"
1990-01-11,60,74,1009.1860164688733,1006.8989913975812,Manjimup,"Southwest, Western Australia"
1990-01-12,96,65,1015.6323301643394,1016.1117472302915,Manjimup,"Southwest, Western Australia"
1990-01-13,76,85,1008.9265323313138,1007.4504514635034,Manjimup,"Southwest, Western Australia"
1990-01-14,96,58,1014.693021580535,1012.0592437829099,Manjimup,"Southwest, Western Australia"
1990-01-15,71,79,1005.2978221684616,1001.6863374490546,Manjimup,"Southwest, Western Australia"
1990-01-16,84,68,1021.2072792706986,1024.1959936178207,Manjimup,"Southwest, Western Australia"
1990-01-17,93,58,1010.0232424794947,1009.1574804348674,Manjimup,"Southwest, Western Australia"
1990-01-18,68,88,1010.615861012213,1009.6766714607043,Manjimup,"Southwest, Western Australia"
1990-01-19,96,82,1014.848591307121,1013.6928473436626,Manjimup,"Southwest, Western Australia"
1990-01-20,74,78,1014.1604631387733,1011.6963581239105,Manjimup,"Southwest, Western Australia"
1990-01-21,73,54,1009.9266343672494,1010.8709976175379,Manjimup,"Southwest, Western Australia"
1990-01-22,65,58,1013.4574174560076,1013.123312148609,Manjimup,"Southwest, Western Australia"
1990-01-23,73,71,1011.0534370208835,1010.4649529941283,Manjimup,"Southwest, Western Australia"
1990-01-24,85,67,1011.0614052963398,1013.6176841334521,Manjimup,"Southwest, Western Australia"
1990-01-25,73,76,1012.7983933766213,1014.9095513813581,Manjimup,"Southwest, Western Australia"
1990-01-26,88,75,1011.5926500304317,1009.5295410363266,Manjimup,"Southwest, Western Australia"
1990-01-27,82,52,1004.6872180571736,1002.3288828198674,Manjimup,"Southwest, Western Australia"
1990-01-28,90,88,1004.1725075369343,1004.667571036931,Manjimup,"Southwest, Western Australia"
1990-01-29,90,72,1009.497175201652,1003.6993694859001,Manjimup,"Southwest, Western Australia"
1990-01-30,85,67,1009.4620760250715,1010.476151202535,Manjimup,"Southwest, Western Australia"
1990-01-31,72,55,1009.1069010748788,1011.2503395234924,Manjimup,"Southwest, Western Australia"
1990-02-01,61,60,1016.1191114648664,1018.6981243793253,Manjimup,"Southwest, Western Australia"
1990-02-02,91,82,1014.3874524791545,1014.9302583915451,Manjimup,"Southwest, Western Australia"
1990-02-03,96,52,1005.6994476289217,1007.0061790075939,Manjimup,"Southwest, Western Australia"
1990-02-04,87,62,1010.6631750258654,1009.5540511479655,Manjimup,"Southwest, Western Australia"
1990-02-05,78,82,1010.6679847729705,1009.2184606592034,Manjimup,"Southwest, Western Australia"
1990-02-06,89,52,1020.0359611626262,1018.5777986975406,Manjimup,"Southwest, Western Australia"
1990-02-07,73,71,1016.7573478368018,1012.8809811954778,Manjimup,"Southwest, Western Australia"
1990-02-08,82,71,1010.6215321350047,1012.2650719772951,Manjimup,"Southwest, Western Australia"
1990-02-09,83,54,1007.5740408927426,1005.6665930628645,Manjimup,"Southwest, Western Australia"
1990-02-10,90,73,1016.108088216289,1015.808291659863,Manjimup,"Southwest, Western Australia"
1990-02-11,71,72,1013.5753547043241,1015.3332175065981,Manjimup,"Southwest, Western Australia"
1990-02-12,88,54,1007.7595334020695,1005.799945263419,Manjimup,"Southwest, Western Australia"
1990-02-13,70,73,1014.6948570884053,1012.968656336243,Manjimup,"Southwest, Western Australia"
1990-02-14,84,56,1015.7642443371385,1017.1375627547432,Manjimup,"Southwest, Western Australia"
1990-02-15,69,89,1018.8535230096368,1018.9884790377828,Manjimup,"Southwest, Western Australia"
1990-02-16,75,74,1007.0646642603994,1005.0674505573467,Manjimup,"Southwest, Western Australia"
1990-02-17,78,54,1017.2163158677915,1013.8187544502422,Manjimup,"Southwest, Western Australia"
