Date,9am Relative Humidity (%),3pm Relative Humidity (%),9am MSL Pressure (hPa),3pm MSL Pressure (hPa),Station Name,Region Name
1990-01-01,84,81,1026.309475885587,1027.5708175787518,Merredin,"Wheatbelt, Western Australia"
1990-01-02,87,69,1014.4160485179643,1013.0566476750031,Merredin,"Wheatbelt, Western Australia"
1990-01-03,93,78,1017.3384263593995,1016.9665692163885,Merredin,"Wheatbelt, Western Australia"
1990-01-04,40,38,1021.5032416434773,1024.6681587232974,Merredin,"Wheatbelt, Western Australia"
1990-01-05,43,62,1029.5017723707283,1030.7588644070483,Merredin,"Wheatbelt, Western Australia"
1990-01-06,99,88,1022.5732035416459,1019.2870864953086,Merredin,"Wheatbelt, Western Australia"
1990-01-07,43,36,1009.2647331111168,1008.6591187710972,Merredin,"Wheatbelt, Western Australia"
1990-01-08,79,63,1008.774231540144,1006.3778567221634,Merredin,"Wheatbelt, Western Australia"
1990-01-09,49,30,1012.0600063191774,1012.9388333194748,Merredin,"Wheatbelt, Western Australia"
1990-01-10,59,88,1017.9063913123505,1018.4093545051002,Merredin,"Wheatbelt, Western Australia"
1990-01-11,61,33,1025.6269353455295,1023.8358323904644,Merredin,"Wheatbelt, Western Australia"
1990-01-12,90,89,1014.7465665305361,1018.5786719752833,Merredin,"Wheatbelt, Western Australia"
1990-01-13,76,71,1017.0055686457885,1013.3346704840147,Merredin,"Wheatbelt, Western Australia"
1990-01-14,63,83,1018.9410481239013,1015.9889181275527,Merredin,"Wheatbelt, Western Australia"
1990-01-15,46,77,1011.9198307854176,1011.5521086232357,Merredin,"Wheatbelt, Western Australia"
1990-01-16,64,88,1008.6763018223302,1005.0858190225454,Merredin,"Wheatbelt, Western Australia"
1990-01-17,64,35,1013.8184096576189,1014.8431756257102,Merredin,"Wheatbelt, Western Australia"
1990-01-18,52,74,1007.1362607938876,1009.0578251899657,Merredin,"Wheatbelt, Western Australia"
1990-01-19,98,89,1014.7341219185364,1012.4425363767127,Merredin,"Wheatbelt, Western Australia"
1990-01-20,41,64,1012.4276602046564,1007.796720284684,Merredin,"Wheatbelt, Western Australia"
1990-01-21,78,31,1016.197503403974,1019.1994110818255,Merredin,"Wheatbelt, Western Australia"
1990-01-22,79,69,1010.5830555010626,1010.2415056801213,Merredin,"Wheatbelt, Western Australia"
1990-01-23,63,41,1016.4596890711733,1019.682200204645,Merredin,"Wheatbelt, Western Australia"
1990-01-24,86,80,1016.2644217067293,1020.8880197930365,Merredin,"Wheatbelt, Western Australia"
1990-01-25,64,43,1021.7625306721366,1024.0876275773076,Merredin,"Wheatbelt, Western Australia"
1990-01-26,57,42,1015.9014503249729,1018.848675403899,Merredin,"Wheatbelt, Western Australia"
1990-01-27,77,42,1010.2064725176796,1007.1436181621228,Merredin,"Wheatbelt, Western Australia"
1990-01-28,65,47,1014.0895236100253,1011.8223569478661,Merredin,"Wheatbelt, Western Australia"
1990-01-29,53,89,1030.2855074770519,1027.128275695441,Merredin,"Wheatbelt, Western Australia"
1990-01-30,48,71,1022.5839555133202,1021.823272838063,Merredin,"Wheatbelt, Western Australia"
1990-01-31,49,82,1009.936950660783,1010.8708423228671,Merredin,"Wheatbelt, Western Australia"
1990-02-01,60,55,1014.1403159641059,1008.7604170762343,Merredin,"Wheatbelt, Western Australia"
1990-02-02,91,73,1017.0395652721397,1020.6813440309488,Merredin,"Wheatbelt, Western Australia"
1990-02-03,56,65,1015.8770645231664,1009.5929950752115,Merredin,"Wheatbelt, Western Australia"
1990-02-04,91,56,1016.764289867568,1016.7914309482454,Merredin,"Wheatbelt, Western Australia"
1990-02-05,45,85,1013.6536364617801,1011.7193674541742,Merredin,"Wheatbelt, Western Australia"
1990-02-06,55,64,1010.975011377803,1013.2533443362688,Merredin,"Wheatbelt, Western Australia"
1990-02-07,87,83,1015.2302185498021,1015.636704709335,Merredin,"Wheatbelt, Western Australia"
1990-02-08,40,38,1014.6007015191389,1014.402494097634,Merredin,"Wheatbelt, Western Australia"
1990-02-09,58,72,1020.3609037079108,1023.5589952906131,Merredin,"Wheatbelt, Western Australia"
1990-02-10,75,37,1009.4855041410086,1007.0292584192096,Merredin,"Wheatbelt, Western Australia"
1990-02-11,64,43,1011.979434105662,1013.0557809383746,Merredin,"Wheatbelt, Western Australia"
1990-02-12,89,38,1032.28589446372,1030.9443286524931,Merredin,"Wheatbelt, Western Australia"
1990-02-13,91,56,1012.5767307556804,1010.0533757286812,Merredin,"Wheatbelt, Western Australia"
1990-02-14,69,49,1011.5492368785472,1009.8412641764518,Merredin,"Wheatbelt, Western Australia"
1990-02-15,59,77,1020.3872833500047,1024.8322819113198,Merredin,"Wheatbelt, Western Australia"
1990-02-16,59,81,1015.7059403278895,1018.0126946837298,Merredin,"Wheatbelt, Western Australia"
1990-02-17,54,87,1012.683792694483,1015.0203179153145,Merredin,"Wheatbelt, Western Australia"
1990-02-18,79,60,1015.8848951275415,1018.6485997607729,Merredin,"Wheatbelt, Western Australia"
1990-02-19,72,41,1019.1436365621039,1016.8708093528005,Merredin,"Wheatbelt, Western Australia"
1990-02-20,41,84,1011.0671545307877,1014.7839467637236,Merredin,"Wheatbelt, Western Australia"
1990-02-21,49,81,1010.5829176415208,1008.7674732073134,Merredin,"Wheatbelt, Western Australia"
1990-02-22,97,86,1019.4906454707167,1023.0175603284669,Merredin,"Wheatbelt, Western Australia"
1990-02-23,72,79,1013.2909941662072,1017.1307996925268,Merredin,"Wheatbelt, Western Australia"
1990-02-24,71,65,1017.1880930608693,1022.6276073543955,Merredin,"Wheatbelt, Western Australia"
1990-02-25,50,49,1010.9033323523206,1011.066825198132,Merredin,"Wheatbelt, Western Australia"
1990-02-26,92,52,1018.8658497727733,1023.6501260150535,Merredin,"Wheatbelt, Western Australia"
1990-02-27,63,66,1016.7584510262565,1016.1779150489738,Merredin,"Wheatbelt, Western Australia"
1990-02-28,75,49,1026.821030272681,1027.943292925511,Merredin,"Wheatbelt, Western Australia"
1990-03-01,51,82,1008.0563564726475,1011.6221105315351,Merredin,"Wheatbelt, Western Australia"
1990-03-02,90,77,1013.0870164607946,1013.3247324458157,Merredin,"Wheatbelt, Western Australia"
1990-03-03,95,80,1018.3210146147325,1014.9833190932754,Merredin,"Wheatbelt, Western Australia"
1990-03-04,68,64,1010.750409850061,1009.6122711726109,Merredin,"Wheatbelt, Western Australia"
1990-03-05,74,89,1019.045186326718,1017.2928285407475,Merredin,"Wheatbelt, Western Australia"
1990-03-06,40,39,1014.5563525781109,1014.3848285103288,Merredin,"Wheatbelt, Western Australia"
1990-03-07,40,73,1011.1712423698311,1011.5123013001835,Merredin,"Wheatbelt, Western Australia"
1990-03-08,76,48,1017.0470036996361,1018.742877827813,Merredin,"Wheatbelt, Western Australia"
1990-03-09,93,82,1013.7052698386602,1011.3713227975801,Merredin,"Wheatbelt, Western Australia"
1990-03-10,45,74,1014.6447910316692,1013.3465995965919,Merredin,"Wheatbelt, Western Australia"
1990-03-11,78,35,1013.5026731970726,1016.749475872328,Merredin,"Wheatbelt, Western Australia"
1990-03-12,80,56,1015.7372812753179,1012.6582845766334,Merredin,"Wheatbelt, Western Australia"
1990-03-13,92,45,1014.8672560607921,1016.3269747273008,Merredin,"Wheatbelt, Western Australia"
1990-03-14,57,61,1023.0535892605253,1022.907324108018,Merredin,"Wheatbelt, Western Australia"
1990-03-15,55,41,1010.593529127252,1011.2966669295081,Merredin,"Wheatbelt, Western Australia"
1990-03-16,44,32,1015.1249511155244,1015.8318230769324,Merredin,"Wheatbelt, Western Australia"
1990-03-17,81,85,1013.4288692199293,1013.3512207833535,Merredin,"Wheatbelt, Western Australia"
1990-03-18,82,72,1007.4611785295076,1012.1110946047447,Merredin,"Wheatbelt, Western Australia"
1990-03-19,98,44,1012.4909891793194,1011.6390379179513,Merredin,"Wheatbelt, Western Australia"
1990-03-20,71,42,1020.082870148558,1020.0392659603816,Merredin,"Wheatbelt, Western Australia"
1990-03-21,96,40,1014.9081765182087,1015.3413555584716,Merredin,"Wheatbelt, Western Australia"
1990-03-22,41,37,1016.8079455506204,1013.35978467309,Merredin,"Wheatbelt, Western Australia"
1990-03-23,41,52,1018.9877221507084,1020.866483234965,Merredin,"Wheatbelt, Western Australia"
1990-03-24,79,85,1021.0607287428281,1026.2196273150662,Merredin,"Wheatbelt, Western Australia"
1990-03-25,81,45,1011.7465802078269,1016.8870965630191,Merredin,"Wheatbelt, Western Australia"
1990-03-26,97,82,1016.7742909441761,1015.4857227818724,Merredin,"Wheatbelt, Western Australia"
1990-03-27,75,33,1016.2421364212674,1020.3409702775226,Merredin,"Wheatbelt, Western Australia"
1990-03-28,78,45,1013.6051685047786,1015.0739426091587,Merredin,"Wheatbelt, Western Australia"
1990-03-29,95,73,1017.9293903035534,1017.1814751663921,Merredin,"Wheatbelt, Western Australia"
1990-03-30,51,62,1026.5076761218863,1036.4384475199624,Merredin,"Wheatbelt, Western Australia"
1990-03-31,86,32,1021.3730737529893,1020.1118042184355,Merredin,"Wheatbelt, Western Australia"
1990-04-01,58,76,1020.1819060948178,1023.4550787711814,Merredin,"Wheatbelt, Western Australia"
1990-04-02,67,55,1018.8872401226538,1021.8148619252509,Merredin,"Wheatbelt, Western Australia"
1990-04-03,40,75,1020.5144320234666,1020.9454636231117,Merredin,"Wheatbelt, Western Australia"
1990-04-04,54,89,1014.4659427260933,1021.0626748613489,Merredin,"Wheatbelt, Western Australia"
1990-04-05,75,36,1015.9850183546143,1015.0845167198081,Merredin,"Wheatbelt, Western Australia"
1990-04-06,93,43,1015.9662693971193,1021.193229700135,Merredin,"Wheatbelt, Western Australia"
1990-04-07,52,76,1013.0237674673175,1014.7194749336217,Merredin,"Wheatbelt, Western Australia"
1990-04-08,97,42,1020.7919302969938,1016.5309619741353,Merredin,"Wheatbelt, Western Australia"
1990-04-09,82,80,1022.0299881951588,1020.9935909399579,Merredin,"Wheatbelt, Western Australia"
1990-04-10,60,87,1025.6096635983508,1028.154370159061,Merredin,"Wheatbelt, Western Australia"
1990-04-11,51,87,1005.8207521143828,1008.8240702163151,Merredin,"Wheatbelt, Western Australia"
1990-04-12,44,60,1008.9573184421253,1006.3858567402158,Merredin,"Wheatbelt, Western Australia"
1990-04-13,46,55,1008.3754281227675,1009.8731799985751,Merredin,"Wheatbelt, Western Australia"
1990-04-14,44,76,1017.1027524058162,1014.8367893254465,Merredin,"Wheatbelt, Western Australia"
1990-04-15,87,31,1020.5186313531866,1023.1297954685888,Merredin,"Wheatbelt, Western Australia"
1990-04-16,92,85,1019.5465937283964,1017.3103570465152,Merredin,"Wheatbelt, Western Australia"
1990-04-17,43,45,1022.3764533131566,1017.9535148316038,Merredin,"Wheatbelt, Western Australia"
1990-04-18,52,81,1010.8563308487652,1012.0513895147164,Merredin,"Wheatbelt, Western Australia"
1990-04-19,76,38,1020.0846249024761,1017.3868206324505,Merredin,"Wheatbelt, Western Australia"
1990-04-20,92,74,1011.51378139828,1014.1310024830643,Merredin,"Wheatbelt, Western Australia"
1990-04-21,80,57,1007.5948912250619,1008.973378218809,Merredin,"Wheatbelt, Western Australia"
1990-04-22,54,30,1011.2956903294016,1012.1631095061522,Merredin,"Wheatbelt, Western Australia"
1990-04-23,55,73,1011.9068525236323,1006.9676417301273,Merredin,"Wheatbelt, Western Australia"
1990-04-24,60,66,1017.6849087064015,1019.425073115147,Merredin,"Wheatbelt, Western Australia"
1990-04-25,75,89,1013.5889529356489,1013.2312392411553,Merredin,"Wheatbelt, Western Australia"
1990-04-26,98,58,1014.2784980475877,1013.3029587205955,Merredin,"Wheatbelt, Western Australia"
1990-04-27,63,72,1011.0383179959944,1006.3225913245918,Merredin,"Wheatbelt, Western Australia"
1990-04-28,55,73,1011.9259340232937,1011.1958283941387,Merredin,"Wheatbelt, Western Australia"
1990-04-29,53,72,1014.6839138731996,1009.8122880379506,Merredin,"Wheatbelt, Western Australia"
