Date,9am Relative Humidity (%),3pm Relative Humidity (%),9am MSL Pressure (hPa),3pm MSL Pressure (hPa),Station Name,Region Name
1990-01-01,85,42,1014.6786869132043,1014.1770424819763,Kununurra,"Kimberley, Western Australia"
1990-01-02,64,59,1010.3206294988837,1010.3703172111586,Kununurra,"Kimberley, Western Australia"
1990-01-03,97,83,1007.5769876172604,1006.7572261606158,Kununurra,"Kimberley, Western Australia"
1990-01-04,88,74,1012.3210902562408,1012.9089119272811,Kununurra,"Kimberley, Western Australia"
1990-01-05,66,83,1010.6261326163469,1010.9789618088429,Kununurra,"Kimberley, Western Australia"
1990-01-06,59,69,1010.8372735744864,1011.0024570252655,Kununurra,"Kimberley, Western Australia"
1990-01-07,58,46,1003.4628396607606,1005.2015831674407,Kununurra,"Kimberley, Western Australia"
1990-01-08,86,74,1000.8956686396348,1000.0177289703392,Kununurra,"Kimberley, Western Australia"
1990-01-09,89,72,1017.1706560262694,1017.1454987056853,Kununurra,"Kimberley, Western Australia"
1990-01-10,77,81,1003.4031474892269,1001.8790875834876,Kununurra,"Kimberley, Western Australia"
1990-01-11,98,63,1004.2358195725993,1003.3993013833154,Kununurra,"Kimberley, Western Australia"
1990-01-12,80,50,1009.2889495000712,1009.4760616092024,Kununurra,"Kimberley, Western Australia"
1990-01-13,66,57,1007.463549479421,1004.5672777924847,Kununurra,"Kimberley, Western Australia"
1990-01-14,57,49,1016.5396066658044,1014.4824772519839,Kununurra,"Kimberley, Western Australia"
1990-01-15,62,83,1003.6228118442118,999.8263498304242,Kununurra,"Kimberley, Western Australia"
1990-01-16,65,52,1003.1182550664988,1004.470274611695,Kununurra,"Kimberley, Western Australia"
1990-01-17,99,46,999.3678729612132,997.8663779384615,Kununurra,"Kimberley, Western Australia"
1990-01-18,89,81,1014.2034591650981,1010.8120546826856,Kununurra,"Kimberley, Western Australia"
1990-01-19,66,45,1008.4422881614644,1007.5212120009414,Kununurra,"Kimberley, Western Australia"
1990-01-20,77,53,1010.9013549751884,1010.5541796525644,Kununurra,"Kimberley, Western Australia"
1990-01-21,94,53,1009.0300034984175,1004.2931919931009,Kununurra,"Kimberley, Western Australia"
1990-01-22,63,84,1013.6605730202831,1012.4286514541994,Kununurra,"Kimberley, Western Australia"
1990-01-23,61,74,1012.5361316756573,1009.9974320623406,Kununurra,"Kimberley, Western Australia"
1990-01-24,51,89,1007.3439443251228,1004.4324313404873,Kununurra,"Kimberley, Western Australia"
1990-01-25,97,62,1015.589861875503,1015.2601675639935,Kununurra,"Kimberley, Western Australia"
1990-01-26,80,77,1005.3097935777066,1002.234962439992,Kununurra,"Kimberley, Western Australia"
1990-01-27,70,61,1012.5318014495016,1007.8171819348331,Kununurra,"Kimberley, Western Australia"
1990-01-28,72,85,1003.1291729271218,1003.6693878392007,Kununurra,"Kimberley, Western Australia"
1990-01-29,68,50,1007.4171813503874,1009.551735032513,Kununurra,"Kimberley, Western Australia"
1990-01-30,59,88,1010.3309602922634,1010.0612253566519,Kununurra,"Kimberley, Western Australia"
1990-01-31,92,63,1019.5960828884399,1016.3450763831812,Kununurra,"Kimberley, Western Australia"
1990-02-01,91,64,1011.1496408572126,1009.3789353845077,Kununurra,"Kimberley, Western Australia"
1990-02-02,91,78,1012.9580306050785,1011.5558831946046,Kununurra,"Kimberley, Western Australia"
1990-02-03,51,52,1012.0635696305886,1012.6839184778607,Kununurra,"Kimberley, Western Australia"
1990-02-04,68,69,1017.3421150694272,1017.3639718124351,Kununurra,"Kimberley, Western Australia"
1990-02-05,89,62,1008.5559456515202,1005.6036473624889,Kununurra,"Kimberley, Western Australia"
1990-02-06,66,54,1007.2885387201945,1009.0821863042119,Kununurra,"Kimberley, Western Australia"
1990-02-07,64,84,1016.2143050420773,1016.582559434801,Kununurra,"Kimberley, Western Australia"
1990-02-08,55,71,1014.6566617061111,1012.78453262275,Kununurra,"Kimberley, Western Australia"
1990-02-09,50,52,1020.7149713803112,1024.6140879254908,Kununurra,"Kimberley, Western Australia"
1990-02-10,66,72,1007.0774364901731,1008.3867067733823,Kununurra,"Kimberley, Western Australia"
1990-02-11,54,76,1008.3260572682653,1009.5639083189544,Kununurra,"Kimberley, Western Australia"
1990-02-12,96,46,1008.8723292408192,1008.2096996542292,Kununurra,"Kimberley, Western Australia"
1990-02-13,86,53,1011.331194430672,1009.0995990147038,Kununurra,"Kimberley, Western Australia"
1990-02-14,91,64,1013.5110153235779,1012.5667843202148,Kununurra,"Kimberley, Western Australia"
1990-02-15,77,69,1015.2068084129452,1015.3269558155573,Kununurra,"Kimberley, Western Australia"
1990-02-16,81,83,1010.1252913477688,1009.7648596350773,Kununurra,"Kimberley, Western Australia"
1990-02-17,52,61,1016.4129276208431,1014.233966069034,Kununurra,"Kimberley, Western Australia"
1990-02-18,54,68,1007.219404047661,1009.3968843162296,Kununurra,"Kimberley, Western Australia"
1990-02-19,88,51,1015.9701505740267,1012.9090527833937,Kununurra,"Kimberley, Western Australia"
1990-02-20,91,56,1005.0325894154754,1002.877596409734,Kununurra,"Kimberley, Western Australia"
1990-02-21,69,50,1016.453397354305,1016.2066744115064,Kununurra,"Kimberley, Western Australia"
1990-02-22,69,77,1008.8385349004658,1009.0655336964783,Kununurra,"Kimberley, Western Australia"
1990-02-23,68,83,1007.9328174760568,1005.4782130486625,Kununurra,"Kimberley, Western Australia"
1990-02-24,99,79,1014.9646723814417,1013.5391747473402,Kununurra,"Kimberley, Western Australia"
1990-02-25,57,53,1013.7808624922422,1011.8405251212466,Kununurra,"Kimberley, Western Australia"
1990-02-26,86,81,1019.4879027852851,1019.3393775945378,Kununurra,"Kimberley, Western Australia"
1990-02-27,94,59,1011.9804022169958,1008.4169050072909,Kununurra,"Kimberley, Western Australia"
