Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,002056,2024,01,01,23.5,1,N
IDCJAC0011,002056,2024,01,02,27.0,1,N
IDCJAC0011,002056,2024,01,03,28.2,1,N
IDCJAC0011,002056,2024,01,04,26.0,1,N
IDCJAC0011,002056,2024,01,05,24.6,1,N
IDCJAC0011,002056,2024,01,06,24.5,1,N
IDCJAC0011,002056,2024,01,07,25.9,1,N
IDCJAC0011,002056,2024,01,08,23.7,1,N
IDCJAC0011,002056,2024,01,09,23.5,1,N
IDCJAC0011,002056,2024,01,10,25.9,1,N
IDCJAC0011,002056,2024,01,11,24.4,1,N
IDCJAC0011,002056,2024,01,12,25.8,1,Y
IDCJAC0011,002056,2024,01,13,23.7,1,N
IDCJAC0011,002056,2024,01,14,26.3,1,N
IDCJAC0011,002056,2024,01,15,25.9,1,Y
IDCJAC0011,002056,2024,01,16,25.7,1,Y
IDCJAC0011,002056,2024,01,17,24.6,1,N
IDCJAC0011,002056,2024,01,18,23.9,1,N
IDCJAC0011,002056,2024,01,19,24.7,1,N
IDCJAC0011,002056,2024,01,20,26.1,1,N
IDCJAC0011,002056,2024,01,21,23.8,1,N
IDCJAC0011,002056,2024,01,22,26.9,1,N
IDCJAC0011,002056,2024,01,23,25.9,1,N
IDCJAC0011,002056,2024,01,24,25.4,1,N
IDCJAC0011,002056,2024,01,25,25.3,1,N
IDCJAC0011,002056,2024,01,26,25.8,1,N
IDCJAC0011,002056,2024,01,27,25.5,1,N
IDCJAC0011,002056,2024,01,28,23.4,1,N
IDCJAC0011,002056,2024,01,29,24.5,1,N
IDCJAC0011,002056,2024,01,30,26.3,1,N
IDCJAC0011,002056,2024,01,31,24.0,1,N
IDCJAC0011,002056,2024,02,01,25.8,1,N
IDCJAC0011,002056,2024,02,02,27.0,1,N
IDCJAC0011,002056,2024,02,03,27.5,1,N
IDCJAC0011,002056,2024,02,04,27.4,1,N
IDCJAC0011,002056,2024,02,05,26.5,1,N
IDCJAC0011,002056,2024,02,06,26.0,1,N
IDCJAC0011,002056,2024,02,07,25.3,1,N
IDCJAC0011,002056,2024,02,08,23.5,1,N
IDCJAC0011,002056,2024,02,09,25.5,1,N
IDCJAC0011,002056,2024,02,10,25.5,1,N
IDCJAC0011,002056,2024,02,11,24.1,1,N
IDCJAC0011,002056,2024,02,12,24.3,1,N
IDCJAC0011,002056,2024,02,13,24.9,1,N
IDCJAC0011,002056,2024,02,14,23.0,1,N
IDCJAC0011,002056,2024,02,15,23.9,1,N
IDCJAC0011,002056,2024,02,16,25.4,1,N
IDCJAC0011,002056,2024,02,17,25.4,1,N
IDCJAC0011,002056,2024,02,18,25.4,1,N
IDCJAC0011,002056,2024,02,19,24.0,1,N
IDCJAC0011,002056,2024,02,20,25.5,1,N
IDCJAC0011,002056,2024,02,21,25.0,1,N
IDCJAC0011,002056,2024,02,22,25.1,1,N
IDCJAC0011,002056,2024,02,23,25.6,1,N
IDCJAC0011,002056,2024,02,24,27.1,1,N
IDCJAC0011,002056,2024,02,25,24.9,1,N
IDCJAC0011,002056,2024,02,26,26.4,1,Y
IDCJAC0011,002056,2024,02,27,25.7,1,Y
IDCJAC0011,002056,2024,02,28,24.7,1,Y
IDCJAC0011,002056,2024,02,29,26.0,1,Y
IDCJAC0011,002056,2024,03,01,25.8,1,N
IDCJAC0011,002056,2024,03,02,26.1,1,N
IDCJAC0011,002056,2024,03,03,26.0,1,N
IDCJAC0011,002056,2024,03,04,26.9,1,N
IDCJAC0011,002056,2024,03,05,24.7,1,N
IDCJAC0011,002056,2024,03,06,25.1,1,N
IDCJAC0011,002056,2024,03,07,24.1,1,N
IDCJAC0011,002056,2024,03,08,24.4,1,N
IDCJAC0011,002056,2024,03,09,24.6,1,N
IDCJAC0011,002056,2024,03,10,25.5,1,N
IDCJAC0011,002056,2024,03,11,25.7,1,N
IDCJAC0011,002056,2024,03,12,25.4,1,N
IDCJAC0011,002056,2024,03,13,25.3,1,N
IDCJAC0011,002056,2024,03,14,26.8,1,N
IDCJAC0011,002056,2024,03,15,25.3,1,N
IDCJAC0011,002056,2024,03,16,25.7,1,N
IDCJAC0011,002056,2024,03,17,25.3,1,N
IDCJAC0011,002056,2024,03,18,27.0,1,N
IDCJAC0011,002056,2024,03,19,25.4,1,N
IDCJAC0011,002056,2024,03,20,22.5,1,N
IDCJAC0011,002056,2024,03,21,26.5,1,N
IDCJAC0011,002056,2024,03,22,25.0,1,N
IDCJAC0011,002056,2024,03,23,25.4,1,N
IDCJAC0011,002056,2024,03,24,25.1,1,N
IDCJAC0011,002056,2024,03,25,25.3,1,N
IDCJAC0011,002056,2024,03,26,24.8,1,N
IDCJAC0011,002056,2024,03,27,25.3,1,N
IDCJAC0011,002056,2024,03,28,23.1,1,N
IDCJAC0011,002056,2024,03,29,25.2,1,N
IDCJAC0011,002056,2024,03,30,25.3,1,N
IDCJAC0011,002056,2024,03,31,25.5,1,N
IDCJAC0011,002056,2024,04,01,23.7,1,N
IDCJAC0011,002056,2024,04,02,25.0,1,N
IDCJAC0011,002056,2024,04,03,25.7,1,N
IDCJAC0011,002056,2024,04,04,24.2,1,N
IDCJAC0011,002056,2024,04,05,23.9,1,N
IDCJAC0011,002056,2024,04,06,21.2,1,N
IDCJAC0011,002056,2024,04,07,20.7,1,N
IDCJAC0011,002056,2024,04,08,19.1,1,N
IDCJAC0011,002056,2024,04,09,19.0,1,N
IDCJAC0011,002056,2024,04,10,17.3,1,N
IDCJAC0011,002056,2024,04,11,16.4,1,N
IDCJAC0011,002056,2024,04,12,16.5,1,N
IDCJAC0011,002056,2024,04,13,23.4,1,N
