"Daily Weather Observations for Kununurra, Western Australia for September 2024"
"Prepared at 08:20 UTC on Saturday 28 September 2024   IDCJDW6068.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Kununurra Aero {station 002056}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,21.4,37.6,0,,,N,31,11:34,31.4,63,,NNE,9,1014.0,36.7,30,,SE,7,1008.8
,2024-09-2,19.9,39.6,0,,,ENE,44,14:52,30.9,55,,NNE,6,1017.1,38.3,20,,E,31,1011.3
,2024-09-3,20.0,39.7,0,,,ESE,37,13:48,31.2,61,,ESE,13,1016.2,38.8,19,1,ENE,17,1010.2
,2024-09-4,20.4,38.6,0,,,SE,37,13:49,31.6,51,,ENE,7,1014.9,37.5,17,,ESE,17,1008.5
,2024-09-5,16.7,37.6,0,,,ENE,33,09:39,31.0,54,,NE,17,1014.0,36.5,31,8,NNE,13,1009.5
,2024-09-6,21.1,37.1,0,,,NNE,28,09:28,31.6,53,1,NE,13,1016.5,35.1,34,3,ENE,11,1011.6
,2024-09-7,21.6,38.2,0,,,ENE,30,13:41,30.4,58,2,N,17,1017.6,37.7,26,,SE,17,1012.0
,2024-09-8,20.8,38.6,0,,,ENE,30,10:13,32.4,50,,NE,13,1015.8,37.8,25,2,ENE,17,1010.2
,2024-09-9,20.4,37.3,0,,,ENE,37,10:17,32.2,44,,ENE,19,1013.7,37.0,23,,ESE,13,1008.4
,2024-09-10,20.0,38.1,0,,,NE,41,10:39,33.0,30,,NNE,19,1013.5,37.4,21,,ENE,20,1008.2
,2024-09-11,18.4,39.0,0,,,ESE,35,14:10,31.2,56,,ESE,9,1015.3,37.6,20,1,ENE,17,1009.4
,2024-09-12,19.1,38.7,0,,,SE,35,15:31,32.0,51,,N,13,1014.9,37.6,21,2,E,22,1009.5
,2024-09-13,27.0,37.2,0,,,ENE,52,07:26,32.9,20,,E,26,1016.3,36.3,15,,SE,22,1010.2
,2024-09-14,22.3,36.0,0,,,E,46,09:13,30.9,16,,ESE,28,1014.3,35.5,10,,SSE,19,1008.4
,2024-09-15,14.8,36.9,0,,,ESE,31,08:29,31.6,16,,SE,17,1013.4,35.7,12,,S,13,1007.4
,2024-09-16,16.5,37.4,0,,,SSW,43,19:29,32.8,27,,ESE,22,1011.3,35.2,25,6,E,11,1006.3
,2024-09-17,19.6,25.8,5.0,,,ESE,59,08:54,20.6,63,8,ESE,35,1017.5,20.3,74,8,SSE,22,1014.0
,2024-09-18,17.7,34.2,1.0,,,SE,46,05:21,25.4,50,8,SE,20,1014.4,32.8,29,8,ESE,20,1009.1
,2024-09-19,20.4,37.3,0,,,E,39,12:44,31.5,38,,ESE,17,1014.0,36.3,31,,SE,9,1008.3
,2024-09-20,23.5,38.0,0,,,E,48,16:24,33.7,46,7,N,13,1012.4,33.6,51,7,N,17,1007.7
,2024-09-21,23.3,36.7,0.4,,,NNW,31,13:10,31.2,64,3,SE,9,1013.0,32.5,56,8,N,9,1008.7
,2024-09-22,23.8,36.2,7.2,,,ENE,44,14:17,28.8,72,3,SE,7,1014.1,27.4,89,8,SW,11,1009.6
,2024-09-23,24.4,36.5,8.8,,,NNW,33,13:08,29.5,76,8,ENE,6,1013.6,35.5,37,1,N,22,1008.5
,2024-09-24,22.0,36.6,0.4,,,N,41,09:59,31.9,50,,NNW,17,1013.2,34.6,42,8,NNW,19,1008.6
,2024-09-25,22.2,37.4,0,,,NNW,31,11:52,31.4,51,,SSW,15,1012.3,35.2,40,8,N,15,1008.4
,2024-09-26,22.9,36.6,0,,,E,37,23:20,32.0,54,,NE,9,1014.4,36.1,38,,ESE,7,1009.0
,2024-09-27,23.5,35.9,2.4,,,N,28,16:27,31.3,59,,ENE,19,1014.9,34.5,45,6,E,9,1009.9
,2024-09-28,24.6,,0,,,,,,33.9,53,,SSE,11,1014.5,27.1,81,8,NW,20,1010.2
