Product code,Station number,Year,Month,Highest minimum temperature (°C),Day,Quality
IDCJAC0007,002056,1986,03,27.3,31,Y
IDCJAC0007,002056,1986,04,27.3,09,Y
IDCJAC0007,002056,1986,05,24.4,10,Y
IDCJAC0007,002056,1986,06,23.6,04,Y
IDCJAC0007,002056,1986,07,23.9,23,Y
IDCJAC0007,002056,1986,08,26.3,31,Y
IDCJAC0007,002056,1986,09,29.2,20,Y
IDCJAC0007,002056,1986,10,27.0,28,Y
IDCJAC0007,002056,1986,11,28.4,01,Y
IDCJAC0007,002056,1986,12,29.5,26,Y
IDCJAC0007,002056,1987,01,29.5,01,Y
IDCJAC0007,002056,1987,02,27.0,08,Y
IDCJAC0007,002056,1987,03,27.0,13,Y
IDCJAC0007,002056,1987,04,26.5,26,Y
IDCJAC0007,002056,1987,05,26.6,01,Y
IDCJAC0007,002056,1987,06,23.3,04,Y
IDCJAC0007,002056,1987,07,21.0,21,Y
IDCJAC0007,002056,1987,08,22.1,17,Y
IDCJAC0007,002056,1987,09,24.5,28,Y
IDCJAC0007,002056,1987,10,28.5,28,Y
IDCJAC0007,002056,1987,11,30.0,08,Y
IDCJAC0007,002056,1987,12,30.0,12,Y
IDCJAC0007,002056,1988,01,27.6,13,Y
IDCJAC0007,002056,1988,02,27.8,27,Y
IDCJAC0007,002056,1988,03,28.6,14,Y
IDCJAC0007,002056,1988,04,26.0,02,Y
IDCJAC0007,002056,1988,05,26.1,11,Y
IDCJAC0007,002056,1988,06,18.7,22,Y
IDCJAC0007,002056,1988,07,23.7,01,Y
IDCJAC0007,002056,1988,09,27.7,30,Y
IDCJAC0007,002056,1988,10,28.5,05,Y
IDCJAC0007,002056,1988,11,29.0,09,Y
IDCJAC0007,002056,1988,12,28.5,21,Y
IDCJAC0007,002056,1989,01,27.0,19,Y
IDCJAC0007,002056,1989,02,27.0,16,Y
IDCJAC0007,002056,1989,03,25.5,15,Y
IDCJAC0007,002056,1989,04,26.0,28,Y
IDCJAC0007,002056,1989,05,24.0,01,Y
IDCJAC0007,002056,1989,06,20.5,07,Y
IDCJAC0007,002056,1989,07,18.5,13,Y
IDCJAC0007,002056,1989,08,20.5,31,Y
IDCJAC0007,002056,1989,09,25.5,26,Y
IDCJAC0007,002056,1989,10,26.0,26,Y
IDCJAC0007,002056,1989,11,28.0,29,Y
IDCJAC0007,002056,1989,12,28.5,29,Y
IDCJAC0007,002056,1990,01,28.0,18,Y
IDCJAC0007,002056,1990,02,26.5,20,Y
IDCJAC0007,002056,1990,03,27.5,08,Y
IDCJAC0007,002056,1990,04,25.5,12,Y
IDCJAC0007,002056,1990,05,25.0,08,Y
IDCJAC0007,002056,1990,06,20.5,01,Y
IDCJAC0007,002056,1990,07,20.0,19,Y
IDCJAC0007,002056,1990,08,21.0,30,Y
IDCJAC0007,002056,1990,09,23.0,21,Y
IDCJAC0007,002056,1990,10,26.0,31,Y
IDCJAC0007,002056,1990,11,29.0,23,Y
IDCJAC0007,002056,1990,12,28.0,20,Y
IDCJAC0007,002056,1991,01,28.0,16,Y
IDCJAC0007,002056,1991,02,27.0,20,Y
IDCJAC0007,002056,1991,03,27.5,13,Y
IDCJAC0007,002056,1991,04,27.5,17,Y
IDCJAC0007,002056,1991,05,24.5,03,Y
IDCJAC0007,002056,1991,06,22.5,09,Y
IDCJAC0007,002056,1991,07,22.5,23,Y
IDCJAC0007,002056,1991,08,21.0,09,Y
IDCJAC0007,002056,1991,09,25.0,17,Y
IDCJAC0007,002056,1991,10,27.5,31,Y
IDCJAC0007,002056,1991,11,28.0,08,Y
IDCJAC0007,002056,1991,12,29.5,24,Y
IDCJAC0007,002056,1992,01,28.0,27,Y
IDCJAC0007,002056,1992,02,29.0,09,Y
IDCJAC0007,002056,1992,03,27.4,04,Y
IDCJAC0007,002056,1992,04,27.0,10,Y
IDCJAC0007,002056,1992,05,24.6,28,Y
IDCJAC0007,002056,1992,06,22.8,08,Y
IDCJAC0007,002056,1992,07,19.7,26,Y
IDCJAC0007,002056,1992,08,22.6,24,Y
IDCJAC0007,002056,1992,09,26.0,29,Y
IDCJAC0007,002056,1992,10,28.9,19,Y
IDCJAC0007,002056,1992,11,28.7,26,Y
IDCJAC0007,002056,1992,12,28.8,10,Y
IDCJAC0007,002056,1993,01,28.2,01,Y
IDCJAC0007,002056,1993,02,26.7,14,Y
IDCJAC0007,002056,1993,03,27.1,20,Y
IDCJAC0007,002056,1993,04,25.9,16,Y
IDCJAC0007,002056,1993,05,24.8,11,Y
IDCJAC0007,002056,1993,06,22.4,05,Y
IDCJAC0007,002056,1993,07,19.3,26,Y
IDCJAC0007,002056,1993,08,24.0,22,Y
IDCJAC0007,002056,1993,09,25.0,29,Y
IDCJAC0007,002056,1993,10,27.1,21,Y
IDCJAC0007,002056,1993,11,29.5,03,Y
IDCJAC0007,002056,1993,12,28.5,07,Y
IDCJAC0007,002056,1994,01,28.3,04,Y
IDCJAC0007,002056,1994,02,27.4,06,Y
IDCJAC0007,002056,1994,03,25.5,05,Y
IDCJAC0007,002056,1994,04,27.1,06,Y
IDCJAC0007,002056,1994,05,26.8,03,Y
IDCJAC0007,002056,1994,06,20.8,10,Y
IDCJAC0007,002056,1994,07,19.5,08,Y
IDCJAC0007,002056,1994,08,20.3,15,Y
IDCJAC0007,002056,1994,09,23.4,28,Y
IDCJAC0007,002056,1994,10,26.4,29,Y
IDCJAC0007,002056,1994,11,27.7,14,Y
IDCJAC0007,002056,1994,12,27.2,07,Y
IDCJAC0007,002056,1995,01,27.1,03,Y
IDCJAC0007,002056,1995,02,27.8,05,Y
IDCJAC0007,002056,1995,03,26.9,15,Y
IDCJAC0007,002056,1995,04,26.7,05,Y
IDCJAC0007,002056,1995,05,25.1,03,Y
IDCJAC0007,002056,1995,06,21.5,15,Y
IDCJAC0007,002056,1995,07,21.8,20,Y
IDCJAC0007,002056,1995,08,26.6,28,Y
IDCJAC0007,002056,1995,09,24.8,26,Y
IDCJAC0007,002056,1995,10,27.7,21,Y
IDCJAC0007,002056,1995,11,27.8,24,Y
IDCJAC0007,002056,1995,12,27.6,28,Y
IDCJAC0007,002056,1996,01,27.7,16,Y
IDCJAC0007,002056,1996,02,33.0,20,Y
IDCJAC0007,002056,1996,03,26.3,17,Y
IDCJAC0007,002056,1996,04,25.7,05,Y
IDCJAC0007,002056,1996,05,25.2,14,Y
IDCJAC0007,002056,1996,06,23.3,06,Y
IDCJAC0007,002056,1996,07,21.4,07,Y
IDCJAC0007,002056,1996,08,24.8,19,Y
IDCJAC0007,002056,1996,09,24.3,14,Y
IDCJAC0007,002056,1996,10,26.9,18,Y
IDCJAC0007,002056,1996,11,27.2,02,Y
IDCJAC0007,002056,1996,12,28.0,01,Y
IDCJAC0007,002056,1997,01,26.1,10,Y
IDCJAC0007,002056,1997,02,26.3,17,Y
IDCJAC0007,002056,1997,03,26.1,11,Y
IDCJAC0007,002056,1997,04,23.9,26,Y
IDCJAC0007,002056,1997,05,23.7,09,Y
IDCJAC0007,002056,1997,06,23.1,08,Y
IDCJAC0007,002056,1997,07,21.0,30,Y
IDCJAC0007,002056,1997,08,22.5,14,Y
IDCJAC0007,002056,1997,09,24.3,30,Y
IDCJAC0007,002056,1997,10,26.9,21,Y
IDCJAC0007,002056,1997,11,26.4,14,Y
IDCJAC0007,002056,1997,12,27.1,21,Y
IDCJAC0007,002056,1998,01,27.7,06,Y
IDCJAC0007,002056,1998,02,27.4,05,Y
IDCJAC0007,002056,1998,03,27.5,04,Y
IDCJAC0007,002056,1998,04,27.0,14,Y
IDCJAC0007,002056,1998,05,25.8,17,Y
IDCJAC0007,002056,1998,06,26.1,07,Y
IDCJAC0007,002056,1998,07,23.8,09,Y
IDCJAC0007,002056,1998,08,24.7,27,Y
IDCJAC0007,002056,1998,09,27.3,16,Y
IDCJAC0007,002056,1998,10,27.8,19,Y
IDCJAC0007,002056,1998,11,28.7,24,Y
IDCJAC0007,002056,1998,12,28.7,08,Y
IDCJAC0007,002056,1999,01,27.1,28,Y
IDCJAC0007,002056,1999,02,27.1,13,Y
IDCJAC0007,002056,1999,03,25.9,31,Y
IDCJAC0007,002056,1999,04,27.5,03,Y
IDCJAC0007,002056,1999,05,18.3,26,Y
IDCJAC0007,002056,1999,06,21.5,01,Y
IDCJAC0007,002056,1999,07,19.4,01,Y
IDCJAC0007,002056,1999,08,22.4,28,Y
IDCJAC0007,002056,1999,09,23.0,16,Y
IDCJAC0007,002056,1999,10,27.2,27,Y
IDCJAC0007,002056,1999,11,27.4,09,Y
IDCJAC0007,002056,1999,12,27.4,04,Y
IDCJAC0007,002056,2000,01,26.6,19,Y
IDCJAC0007,002056,2000,02,25.8,04,Y
IDCJAC0007,002056,2000,03,25.7,18,Y
IDCJAC0007,002056,2000,04,26.1,05,Y
IDCJAC0007,002056,2000,05,24.4,14,Y
IDCJAC0007,002056,2000,06,17.5,30,Y
IDCJAC0007,002056,2000,07,21.1,12,Y
IDCJAC0007,002056,2000,08,20.1,02,Y
IDCJAC0007,002056,2000,09,25.4,10,Y
IDCJAC0007,002056,2000,10,26.3,16,Y
IDCJAC0007,002056,2000,11,28.6,25,Y
IDCJAC0007,002056,2000,12,27.0,16,Y
IDCJAC0007,002056,2001,01,26.8,26,Y
IDCJAC0007,002056,2001,02,26.8,12,Y
IDCJAC0007,002056,2001,03,25.9,08,Y
IDCJAC0007,002056,2001,04,26.5,18,Y
IDCJAC0007,002056,2001,05,22.8,06,Y
IDCJAC0007,002056,2001,06,22.8,15,Y
IDCJAC0007,002056,2001,07,24.7,05,Y
IDCJAC0007,002056,2001,08,18.2,31,Y
IDCJAC0007,002056,2001,09,24.3,27,Y
IDCJAC0007,002056,2001,10,26.6,29,Y
IDCJAC0007,002056,2001,11,28.5,03,Y
IDCJAC0007,002056,2001,12,26.6,26,Y
IDCJAC0007,002056,2002,01,26.6,28,Y
IDCJAC0007,002056,2002,02,26.7,03,Y
IDCJAC0007,002056,2002,03,26.7,17,Y
IDCJAC0007,002056,2002,04,25.7,10,Y
IDCJAC0007,002056,2002,05,24.1,03,Y
IDCJAC0007,002056,2002,06,19.3,10,Y
IDCJAC0007,002056,2002,07,17.3,30,Y
IDCJAC0007,002056,2002,08,19.9,13,Y
IDCJAC0007,002056,2002,09,24.7,16,Y
IDCJAC0007,002056,2002,10,26.4,30,Y
IDCJAC0007,002056,2002,11,27.3,28,Y
IDCJAC0007,002056,2002,12,29.1,30,Y
IDCJAC0007,002056,2003,01,28.3,20,Y
IDCJAC0007,002056,2003,02,27.8,04,Y
IDCJAC0007,002056,2003,03,26.0,08,Y
IDCJAC0007,002056,2003,04,27.0,21,Y
IDCJAC0007,002056,2003,05,24.7,04,Y
IDCJAC0007,002056,2003,06,21.6,14,Y
IDCJAC0007,002056,2003,07,21.6,14,Y
IDCJAC0007,002056,2003,08,23.3,13,Y
IDCJAC0007,002056,2003,09,26.0,27,Y
IDCJAC0007,002056,2003,10,26.0,07,Y
IDCJAC0007,002056,2003,11,27.6,23,Y
IDCJAC0007,002056,2003,12,27.5,22,Y
IDCJAC0007,002056,2004,01,26.9,18,Y
IDCJAC0007,002056,2004,02,26.5,16,Y
IDCJAC0007,002056,2004,03,26.7,10,Y
IDCJAC0007,002056,2004,04,24.4,02,Y
IDCJAC0007,002056,2004,05,25.9,20,Y
IDCJAC0007,002056,2004,06,23.6,03,Y
IDCJAC0007,002056,2004,07,18.1,18,Y
IDCJAC0007,002056,2004,08,19.9,31,Y
IDCJAC0007,002056,2004,09,22.9,30,Y
IDCJAC0007,002056,2004,10,28.1,28,Y
IDCJAC0007,002056,2004,11,27.6,12,Y
IDCJAC0007,002056,2004,12,28.2,14,Y
IDCJAC0007,002056,2005,01,27.5,27,Y
IDCJAC0007,002056,2005,02,26.5,02,Y
IDCJAC0007,002056,2005,03,29.0,14,Y
IDCJAC0007,002056,2005,04,24.6,12,Y
IDCJAC0007,002056,2005,05,23.0,02,Y
IDCJAC0007,002056,2005,06,23.6,19,Y
IDCJAC0007,002056,2005,07,25.5,25,Y
IDCJAC0007,002056,2005,08,23.5,07,Y
IDCJAC0007,002056,2005,09,26.5,25,Y
IDCJAC0007,002056,2005,10,28.5,25,Y
IDCJAC0007,002056,2005,11,28.1,07,Y
