Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0007,002056,1986,,,,,27.3,31,27.3,09,24.4,10,23.6,04,23.9,23,26.3,31,29.2,20,27.0,28,28.4,01,29.5,26,
IDCJAC0007,002056,1987,29.5,01,27.0,08,27.0,13,26.5,26,26.6,01,23.3,04,21.0,21,22.1,17,24.5,28,28.5,28,30.0,08,30.0,12,30.0
IDCJAC0007,002056,1988,27.6,13,27.8,27,28.6,14,26.0,02,26.1,11,18.7,22,23.7,01,,,27.7,30,28.5,05,29.0,09,28.5,21,
IDCJAC0007,002056,1989,27.0,19,27.0,16,25.5,15,26.0,28,24.0,01,20.5,07,18.5,13,20.5,31,25.5,26,26.0,26,28.0,29,28.5,29,28.5
IDCJAC0007,002056,1990,28.0,18,26.5,20,27.5,08,25.5,12,25.0,08,20.5,01,20.0,19,21.0,30,23.0,21,26.0,31,29.0,23,28.0,20,29.0
IDCJAC0007,002056,1991,28.0,16,27.0,20,27.5,13,27.5,17,24.5,03,22.5,09,22.5,23,21.0,09,25.0,17,27.5,31,28.0,08,29.5,24,29.5
IDCJAC0007,002056,1992,28.0,27,29.0,09,27.4,04,27.0,10,24.6,28,22.8,08,19.7,26,22.6,24,26.0,29,28.9,19,28.7,26,28.8,10,29.0
IDCJAC0007,002056,1993,28.2,01,26.7,14,27.1,20,25.9,16,24.8,11,22.4,05,19.3,26,24.0,22,25.0,29,27.1,21,29.5,03,28.5,07,29.5
IDCJAC0007,002056,1994,28.3,04,27.4,06,25.5,05,27.1,06,26.8,03,20.8,10,19.5,08,20.3,15,23.4,28,26.4,29,27.7,14,27.2,07,28.3
IDCJAC0007,002056,1995,27.1,03,27.8,05,26.9,15,26.7,05,25.1,03,21.5,15,21.8,20,26.6,28,24.8,26,27.7,21,27.8,24,27.6,28,27.8
IDCJAC0007,002056,1996,27.7,16,33.0,20,26.3,17,25.7,05,25.2,14,23.3,06,21.4,07,24.8,19,24.3,14,26.9,18,27.2,02,28.0,01,33.0
IDCJAC0007,002056,1997,26.1,10,26.3,17,26.1,11,23.9,26,23.7,09,23.1,08,21.0,30,22.5,14,24.3,30,26.9,21,26.4,14,27.1,21,27.1
IDCJAC0007,002056,1998,27.7,06,27.4,05,27.5,04,27.0,14,25.8,17,26.1,07,23.8,09,24.7,27,27.3,16,27.8,19,28.7,24,28.7,08,28.7
IDCJAC0007,002056,1999,27.1,28,27.1,13,25.9,31,27.5,03,18.3,26,21.5,01,19.4,01,22.4,28,23.0,16,27.2,27,27.4,09,27.4,04,27.5
IDCJAC0007,002056,2000,26.6,19,25.8,04,25.7,18,26.1,05,24.4,14,17.5,30,21.1,12,20.1,02,25.4,10,26.3,16,28.6,25,27.0,16,28.6
IDCJAC0007,002056,2001,26.8,26,26.8,12,25.9,08,26.5,18,22.8,06,22.8,15,24.7,05,18.2,31,24.3,27,26.6,29,28.5,03,26.6,26,28.5
IDCJAC0007,002056,2002,26.6,28,26.7,03,26.7,17,25.7,10,24.1,03,19.3,10,17.3,30,19.9,13,24.7,16,26.4,30,27.3,28,29.1,30,29.1
IDCJAC0007,002056,2003,28.3,20,27.8,04,26.0,08,27.0,21,24.7,04,21.6,14,21.6,14,23.3,13,26.0,27,26.0,07,27.6,23,27.5,22,28.3
