Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,002056,1986,03,39.9,27,Y
IDCJAC0005,002056,1986,04,39.0,06,Y
IDCJAC0005,002056,1986,05,37.4,05,Y
IDCJAC0005,002056,1986,06,34.0,08,Y
IDCJAC0005,002056,1986,07,35.0,18,Y
IDCJAC0005,002056,1986,08,37.5,30,Y
IDCJAC0005,002056,1986,09,39.5,27,Y
IDCJAC0005,002056,1986,10,41.6,27,Y
IDCJAC0005,002056,1986,11,42.0,18,Y
IDCJAC0005,002056,1986,12,43.5,25,Y
IDCJAC0005,002056,1987,01,42.5,01,Y
IDCJAC0005,002056,1987,02,37.6,09,Y
IDCJAC0005,002056,1987,03,38.0,26,Y
IDCJAC0005,002056,1987,04,39.4,12,Y
IDCJAC0005,002056,1987,05,38.5,03,Y
IDCJAC0005,002056,1987,06,34.0,19,Y
IDCJAC0005,002056,1987,07,33.5,31,Y
IDCJAC0005,002056,1987,08,36.1,29,Y
IDCJAC0005,002056,1987,09,38.4,29,Y
IDCJAC0005,002056,1987,10,43.5,25,Y
IDCJAC0005,002056,1987,11,42.4,11,Y
IDCJAC0005,002056,1987,12,41.0,09,Y
IDCJAC0005,002056,1988,01,40.1,02,Y
IDCJAC0005,002056,1988,02,41.2,25,Y
IDCJAC0005,002056,1988,03,43.0,07,Y
IDCJAC0005,002056,1988,04,38.7,22,Y
IDCJAC0005,002056,1988,05,38.2,08,Y
IDCJAC0005,002056,1988,06,36.0,10,Y
IDCJAC0005,002056,1988,09,39.6,30,Y
IDCJAC0005,002056,1988,10,42.5,20,Y
IDCJAC0005,002056,1988,11,42.5,07,Y
IDCJAC0005,002056,1988,12,40.0,22,Y
IDCJAC0005,002056,1989,01,40.0,18,Y
IDCJAC0005,002056,1989,02,40.0,27,Y
IDCJAC0005,002056,1989,03,38.0,06,Y
IDCJAC0005,002056,1989,04,37.5,05,Y
IDCJAC0005,002056,1989,05,36.0,04,Y
IDCJAC0005,002056,1989,06,34.5,05,Y
IDCJAC0005,002056,1989,07,34.0,16,Y
IDCJAC0005,002056,1989,08,36.5,31,Y
IDCJAC0005,002056,1989,09,41.0,25,Y
IDCJAC0005,002056,1989,10,41.5,17,Y
IDCJAC0005,002056,1989,11,42.0,29,Y
IDCJAC0005,002056,1989,12,41.5,26,Y
IDCJAC0005,002056,1990,01,39.5,04,Y
IDCJAC0005,002056,1990,02,41.5,20,Y
IDCJAC0005,002056,1990,03,41.0,18,Y
IDCJAC0005,002056,1990,04,40.0,11,Y
IDCJAC0005,002056,1990,05,38.0,20,Y
IDCJAC0005,002056,1990,06,34.5,13,Y
IDCJAC0005,002056,1990,07,35.5,16,Y
IDCJAC0005,002056,1990,08,37.0,14,Y
IDCJAC0005,002056,1990,09,37.5,28,Y
IDCJAC0005,002056,1990,10,42.5,31,Y
IDCJAC0005,002056,1990,11,44.5,21,Y
IDCJAC0005,002056,1990,12,42.0,23,Y
IDCJAC0005,002056,1991,01,42.5,02,Y
IDCJAC0005,002056,1991,02,36.0,25,Y
IDCJAC0005,002056,1991,03,39.5,22,Y
IDCJAC0005,002056,1991,04,38.5,25,Y
IDCJAC0005,002056,1991,05,36.0,02,Y
IDCJAC0005,002056,1991,06,35.0,06,Y
IDCJAC0005,002056,1991,07,34.0,26,Y
IDCJAC0005,002056,1991,08,37.0,31,Y
IDCJAC0005,002056,1991,09,40.0,28,Y
IDCJAC0005,002056,1991,10,42.2,28,Y
IDCJAC0005,002056,1991,11,40.0,18,Y
IDCJAC0005,002056,1991,12,42.0,28,Y
IDCJAC0005,002056,1992,01,43.0,16,Y
IDCJAC0005,002056,1992,02,40.5,18,Y
IDCJAC0005,002056,1992,03,40.3,02,Y
IDCJAC0005,002056,1992,04,39.5,02,Y
IDCJAC0005,002056,1992,05,37.4,05,Y
IDCJAC0005,002056,1992,06,35.0,18,Y
IDCJAC0005,002056,1992,07,34.5,30,Y
IDCJAC0005,002056,1992,08,36.5,28,Y
IDCJAC0005,002056,1992,09,40.0,29,Y
IDCJAC0005,002056,1992,10,40.3,18,Y
IDCJAC0005,002056,1992,11,43.7,25,Y
IDCJAC0005,002056,1992,12,43.3,27,Y
IDCJAC0005,002056,1993,01,42.6,11,Y
IDCJAC0005,002056,1993,02,38.3,14,Y
IDCJAC0005,002056,1993,03,39.8,23,Y
IDCJAC0005,002056,1993,04,37.5,08,Y
IDCJAC0005,002056,1993,05,35.3,08,Y
IDCJAC0005,002056,1993,06,33.6,02,Y
IDCJAC0005,002056,1993,07,34.7,28,Y
IDCJAC0005,002056,1993,08,35.8,09,Y
IDCJAC0005,002056,1993,09,37.8,20,Y
IDCJAC0005,002056,1993,10,43.0,28,Y
IDCJAC0005,002056,1993,11,42.1,26,Y
IDCJAC0005,002056,1993,12,40.8,04,Y
IDCJAC0005,002056,1994,01,40.8,23,Y
IDCJAC0005,002056,1994,02,41.2,05,Y
IDCJAC0005,002056,1994,03,37.5,27,Y
IDCJAC0005,002056,1994,04,37.0,01,Y
IDCJAC0005,002056,1994,05,35.4,07,Y
IDCJAC0005,002056,1994,06,33.1,09,Y
IDCJAC0005,002056,1994,07,33.0,11,Y
IDCJAC0005,002056,1994,08,33.5,28,Y
IDCJAC0005,002056,1994,09,39.0,27,Y
IDCJAC0005,002056,1994,10,40.4,18,Y
IDCJAC0005,002056,1994,11,45.1,08,Y
IDCJAC0005,002056,1994,12,39.3,28,Y
IDCJAC0005,002056,1995,01,38.9,01,Y
IDCJAC0005,002056,1995,02,37.6,03,Y
IDCJAC0005,002056,1995,03,38.8,27,Y
IDCJAC0005,002056,1995,04,37.4,15,Y
IDCJAC0005,002056,1995,05,35.9,14,Y
IDCJAC0005,002056,1995,06,34.1,02,Y
IDCJAC0005,002056,1995,07,36.5,16,Y
IDCJAC0005,002056,1995,08,37.3,22,Y
IDCJAC0005,002056,1995,09,39.5,22,Y
IDCJAC0005,002056,1995,10,40.2,11,Y
IDCJAC0005,002056,1995,11,41.8,22,Y
IDCJAC0005,002056,1995,12,41.2,27,Y
IDCJAC0005,002056,1996,01,42.9,07,Y
IDCJAC0005,002056,1996,02,40.7,21,Y
IDCJAC0005,002056,1996,03,38.5,26,Y
IDCJAC0005,002056,1996,04,37.8,01,Y
IDCJAC0005,002056,1996,05,35.3,11,Y
IDCJAC0005,002056,1996,06,35.3,29,Y
IDCJAC0005,002056,1996,07,36.0,19,Y
IDCJAC0005,002056,1996,08,37.7,29,Y
IDCJAC0005,002056,1996,09,38.4,17,Y
IDCJAC0005,002056,1996,10,40.9,25,Y
IDCJAC0005,002056,1996,11,42.6,30,Y
IDCJAC0005,002056,1996,12,41.4,03,Y
IDCJAC0005,002056,1997,01,37.4,10,Y
IDCJAC0005,002056,1997,02,35.9,12,Y
IDCJAC0005,002056,1997,03,37.7,28,Y
IDCJAC0005,002056,1997,04,37.1,03,Y
IDCJAC0005,002056,1997,05,35.8,05,Y
IDCJAC0005,002056,1997,06,33.4,07,Y
IDCJAC0005,002056,1997,07,33.1,27,Y
IDCJAC0005,002056,1997,08,34.4,20,Y
IDCJAC0005,002056,1997,09,40.2,26,Y
IDCJAC0005,002056,1997,10,40.6,15,Y
IDCJAC0005,002056,1997,11,41.2,14,Y
IDCJAC0005,002056,1997,12,40.7,28,Y
IDCJAC0005,002056,1998,01,41.0,03,Y
IDCJAC0005,002056,1998,02,40.3,27,Y
IDCJAC0005,002056,1998,03,40.1,19,Y
IDCJAC0005,002056,1998,04,39.3,01,Y
IDCJAC0005,002056,1998,05,37.6,02,Y
IDCJAC0005,002056,1998,06,36.4,06,Y
IDCJAC0005,002056,1998,07,35.6,07,Y
IDCJAC0005,002056,1998,08,38.1,25,Y
IDCJAC0005,002056,1998,09,39.8,30,Y
IDCJAC0005,002056,1998,10,41.9,12,Y
IDCJAC0005,002056,1998,11,39.9,22,Y
IDCJAC0005,002056,1998,12,39.9,07,Y
IDCJAC0005,002056,1999,01,39.6,26,Y
IDCJAC0005,002056,1999,02,37.1,11,Y
IDCJAC0005,002056,1999,03,36.7,22,Y
IDCJAC0005,002056,1999,04,36.0,10,Y
IDCJAC0005,002056,1999,05,34.9,17,Y
IDCJAC0005,002056,1999,06,33.7,01,Y
IDCJAC0005,002056,1999,07,33.4,10,Y
IDCJAC0005,002056,1999,08,36.1,27,Y
IDCJAC0005,002056,1999,09,38.8,13,Y
IDCJAC0005,002056,1999,10,39.2,10,Y
IDCJAC0005,002056,1999,11,39.9,16,Y
IDCJAC0005,002056,1999,12,39.3,03,Y
IDCJAC0005,002056,2000,01,38.0,31,Y
IDCJAC0005,002056,2000,02,39.1,01,Y
IDCJAC0005,002056,2000,03,36.8,31,Y
IDCJAC0005,002056,2000,04,36.9,04,Y
IDCJAC0005,002056,2000,05,33.7,25,Y
IDCJAC0005,002056,2000,06,31.9,21,Y
IDCJAC0005,002056,2000,07,33.8,25,Y
IDCJAC0005,002056,2000,08,37.1,31,Y
IDCJAC0005,002056,2000,09,38.5,06,Y
IDCJAC0005,002056,2000,10,39.7,01,Y
IDCJAC0005,002056,2000,11,41.8,25,Y
IDCJAC0005,002056,2000,12,38.6,28,Y
IDCJAC0005,002056,2001,01,38.4,20,Y
IDCJAC0005,002056,2001,02,38.0,26,Y
IDCJAC0005,002056,2001,03,36.8,13,Y
IDCJAC0005,002056,2001,04,36.3,29,Y
IDCJAC0005,002056,2001,05,35.7,01,Y
IDCJAC0005,002056,2001,06,34.4,13,Y
IDCJAC0005,002056,2001,07,33.2,16,Y
IDCJAC0005,002056,2001,08,34.6,13,Y
IDCJAC0005,002056,2001,09,38.8,25,Y
IDCJAC0005,002056,2001,10,41.5,31,Y
IDCJAC0005,002056,2001,11,41.0,18,Y
IDCJAC0005,002056,2001,12,40.0,21,Y
IDCJAC0005,002056,2002,01,39.0,28,Y
IDCJAC0005,002056,2002,02,37.5,13,Y
IDCJAC0005,002056,2002,03,38.8,22,Y
IDCJAC0005,002056,2002,04,38.5,07,Y
IDCJAC0005,002056,2002,05,36.5,08,Y
IDCJAC0005,002056,2002,06,34.6,15,Y
IDCJAC0005,002056,2002,07,33.8,28,Y
IDCJAC0005,002056,2002,08,34.6,31,Y
IDCJAC0005,002056,2002,09,38.7,26,Y
IDCJAC0005,002056,2002,10,43.9,23,Y
IDCJAC0005,002056,2002,11,41.2,12,Y
IDCJAC0005,002056,2002,12,43.9,08,Y
IDCJAC0005,002056,2003,01,42.0,19,Y
IDCJAC0005,002056,2003,02,41.7,04,Y
IDCJAC0005,002056,2003,03,38.0,29,Y
IDCJAC0005,002056,2003,04,38.9,05,Y
IDCJAC0005,002056,2003,05,35.7,24,Y
IDCJAC0005,002056,2003,06,33.7,02,Y
IDCJAC0005,002056,2003,07,33.4,20,Y
IDCJAC0005,002056,2003,08,35.2,31,Y
IDCJAC0005,002056,2003,09,39.7,16,Y
IDCJAC0005,002056,2003,10,42.7,29,Y
IDCJAC0005,002056,2003,11,42.2,26,Y
IDCJAC0005,002056,2003,12,39.9,03,Y
IDCJAC0005,002056,2004,01,39.6,16,Y
IDCJAC0005,002056,2004,02,36.4,29,Y
IDCJAC0005,002056,2004,03,37.0,12,Y
IDCJAC0005,002056,2004,04,36.4,08,Y
IDCJAC0005,002056,2004,05,35.4,05,Y
IDCJAC0005,002056,2004,06,34.2,08,Y
IDCJAC0005,002056,2004,07,33.8,31,Y
IDCJAC0005,002056,2004,08,35.3,02,Y
IDCJAC0005,002056,2004,09,39.3,30,Y
IDCJAC0005,002056,2004,10,41.8,11,Y
IDCJAC0005,002056,2004,11,43.5,17,Y
IDCJAC0005,002056,2004,12,45.3,14,Y
IDCJAC0005,002056,2005,01,40.6,25,Y
IDCJAC0005,002056,2005,02,40.0,18,Y
IDCJAC0005,002056,2005,03,40.6,12,Y
IDCJAC0005,002056,2005,04,38.6,12,Y
IDCJAC0005,002056,2005,05,36.1,15,Y
IDCJAC0005,002056,2005,06,34.7,09,Y
IDCJAC0005,002056,2005,07,34.3,09,Y
IDCJAC0005,002056,2005,08,34.7,30,Y
IDCJAC0005,002056,2005,09,39.8,30,Y
IDCJAC0005,002056,2005,10,42.8,24,Y
IDCJAC0005,002056,2005,11,42.4,17,Y
IDCJAC0005,002056,2005,12,41.2,16,Y
IDCJAC0005,002056,2006,01,39.5,10,Y
IDCJAC0005,002056,2006,02,38.6,14,Y
IDCJAC0005,002056,2006,03,37.0,03,Y
IDCJAC0005,002056,2006,04,36.7,13,Y
IDCJAC0005,002056,2006,05,32.5,22,Y
IDCJAC0005,002056,2006,06,31.1,30,Y
IDCJAC0005,002056,2006,07,34.1,31,Y
IDCJAC0005,002056,2006,08,35.3,28,Y
IDCJAC0005,002056,2006,09,38.8,30,Y
IDCJAC0005,002056,2006,10,39.1,21,Y
IDCJAC0005,002056,2006,11,42.5,10,Y
IDCJAC0005,002056,2006,12,42.5,02,Y
IDCJAC0005,002056,2007,01,39.2,26,Y
IDCJAC0005,002056,2007,02,39.3,13,Y
IDCJAC0005,002056,2007,03,38.0,01,Y
IDCJAC0005,002056,2007,04,36.5,30,Y
IDCJAC0005,002056,2007,05,37.5,05,Y
IDCJAC0005,002056,2007,06,31.4,01,Y
IDCJAC0005,002056,2007,07,32.6,30,Y
IDCJAC0005,002056,2007,08,35.2,14,Y
IDCJAC0005,002056,2007,09,39.7,25,Y
IDCJAC0005,002056,2007,10,41.0,12,Y
IDCJAC0005,002056,2007,11,42.9,13,Y
IDCJAC0005,002056,2007,12,42.9,04,Y
IDCJAC0005,002056,2008,01,40.3,21,Y
IDCJAC0005,002056,2008,02,38.2,02,Y
IDCJAC0005,002056,2008,03,36.9,15,Y
IDCJAC0005,002056,2008,04,36.4,13,Y
IDCJAC0005,002056,2008,05,35.4,02,Y
IDCJAC0005,002056,2008,06,33.5,11,Y
IDCJAC0005,002056,2008,07,34.5,31,Y
IDCJAC0005,002056,2008,08,36.6,31,Y
IDCJAC0005,002056,2008,09,39.9,30,Y
IDCJAC0005,002056,2008,10,41.8,31,Y
IDCJAC0005,002056,2008,11,42.9,22,Y
IDCJAC0005,002056,2008,12,39.9,06,Y
IDCJAC0005,002056,2009,01,38.0,13,Y
IDCJAC0005,002056,2009,02,38.2,23,Y
IDCJAC0005,002056,2009,03,38.4,24,Y
IDCJAC0005,002056,2009,04,37.9,24,Y
IDCJAC0005,002056,2009,05,34.0,30,Y
IDCJAC0005,002056,2009,06,34.7,30,Y
IDCJAC0005,002056,2009,07,35.2,26,Y
IDCJAC0005,002056,2009,08,37.8,31,Y
IDCJAC0005,002056,2009,09,39.1,26,Y
IDCJAC0005,002056,2009,10,40.8,28,Y
IDCJAC0005,002056,2009,11,43.3,16,Y
IDCJAC0005,002056,2009,12,44.4,08,Y
IDCJAC0005,002056,2010,01,38.6,01,Y
IDCJAC0005,002056,2010,02,41.5,21,Y
IDCJAC0005,002056,2010,03,37.4,29,Y
IDCJAC0005,002056,2010,04,39.4,06,Y
IDCJAC0005,002056,2010,05,35.9,03,Y
IDCJAC0005,002056,2010,06,33.0,26,Y
IDCJAC0005,002056,2010,07,35.6,28,Y
IDCJAC0005,002056,2010,08,38.4,20,Y
IDCJAC0005,002056,2010,09,40.1,29,Y
IDCJAC0005,002056,2010,10,40.1,04,Y
IDCJAC0005,002056,2010,11,42.4,22,Y
IDCJAC0005,002056,2010,12,40.6,06,Y
IDCJAC0005,002056,2011,01,37.7,30,Y
IDCJAC0005,002056,2011,02,37.5,03,Y
IDCJAC0005,002056,2011,03,34.9,30,Y
IDCJAC0005,002056,2011,04,34.4,08,Y
IDCJAC0005,002056,2011,05,33.5,03,Y
IDCJAC0005,002056,2011,06,31.6,08,Y
IDCJAC0005,002056,2011,07,32.1,17,Y
IDCJAC0005,002056,2011,08,34.7,29,Y
IDCJAC0005,002056,2011,09,38.4,19,Y
IDCJAC0005,002056,2011,10,41.6,12,Y
