Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,002056,1986,03,21.2,12,Y
IDCJAC0008,002056,1986,04,17.1,27,Y
IDCJAC0008,002056,1986,05,15.5,16,Y
IDCJAC0008,002056,1986,06,12.7,17,Y
IDCJAC0008,002056,1986,07,10.3,31,Y
IDCJAC0008,002056,1986,08,8.6,09,Y
IDCJAC0008,002056,1986,09,13.7,04,Y
IDCJAC0008,002056,1986,10,22.0,03,Y
IDCJAC0008,002056,1986,11,19.8,22,Y
IDCJAC0008,002056,1986,12,25.0,10,Y
IDCJAC0008,002056,1987,01,23.5,21,Y
IDCJAC0008,002056,1987,02,22.2,19,Y
IDCJAC0008,002056,1987,03,22.5,26,Y
IDCJAC0008,002056,1987,04,17.5,20,Y
IDCJAC0008,002056,1987,05,15.0,30,Y
IDCJAC0008,002056,1987,06,10.2,27,Y
IDCJAC0008,002056,1987,07,10.2,25,Y
IDCJAC0008,002056,1987,08,12.8,21,Y
IDCJAC0008,002056,1987,09,14.0,02,Y
IDCJAC0008,002056,1987,10,20.5,02,Y
IDCJAC0008,002056,1987,11,23.6,25,Y
IDCJAC0008,002056,1987,12,20.8,05,Y
IDCJAC0008,002056,1988,01,22.5,10,Y
IDCJAC0008,002056,1988,02,23.2,04,Y
IDCJAC0008,002056,1988,03,23.0,17,Y
IDCJAC0008,002056,1988,04,15.5,14,Y
IDCJAC0008,002056,1988,05,16.4,21,Y
IDCJAC0008,002056,1988,06,10.2,19,Y
IDCJAC0008,002056,1988,07,13.5,06,Y
IDCJAC0008,002056,1988,09,14.0,21,Y
IDCJAC0008,002056,1988,10,20.4,27,Y
IDCJAC0008,002056,1988,11,23.0,28,Y
IDCJAC0008,002056,1988,12,23.0,14,Y
IDCJAC0008,002056,1989,01,22.5,04,Y
IDCJAC0008,002056,1989,02,20.5,28,Y
IDCJAC0008,002056,1989,03,21.0,01,Y
IDCJAC0008,002056,1989,04,21.0,17,Y
IDCJAC0008,002056,1989,05,15.0,31,Y
IDCJAC0008,002056,1989,06,10.5,30,Y
IDCJAC0008,002056,1989,07,11.0,31,Y
IDCJAC0008,002056,1989,08,10.0,25,Y
IDCJAC0008,002056,1989,09,13.5,11,Y
IDCJAC0008,002056,1989,10,18.5,02,Y
IDCJAC0008,002056,1989,11,20.5,20,Y
IDCJAC0008,002056,1989,12,22.0,20,Y
IDCJAC0008,002056,1990,01,22.5,12,Y
IDCJAC0008,002056,1990,02,21.0,26,Y
IDCJAC0008,002056,1990,03,22.0,16,Y
IDCJAC0008,002056,1990,04,14.0,30,Y
IDCJAC0008,002056,1990,05,11.5,29,Y
IDCJAC0008,002056,1990,06,12.0,29,Y
IDCJAC0008,002056,1990,07,9.0,05,Y
IDCJAC0008,002056,1990,08,8.0,03,Y
IDCJAC0008,002056,1990,09,14.5,10,Y
IDCJAC0008,002056,1990,10,20.0,26,Y
IDCJAC0008,002056,1990,11,22.0,27,Y
IDCJAC0008,002056,1990,12,19.0,13,Y
IDCJAC0008,002056,1991,01,23.0,07,Y
IDCJAC0008,002056,1991,02,23.0,27,Y
IDCJAC0008,002056,1991,03,22.3,24,Y
IDCJAC0008,002056,1991,04,17.0,30,Y
IDCJAC0008,002056,1991,05,13.5,18,Y
IDCJAC0008,002056,1991,06,14.8,23,Y
IDCJAC0008,002056,1991,07,9.5,17,Y
IDCJAC0008,002056,1991,08,12.0,19,Y
IDCJAC0008,002056,1991,09,19.0,01,Y
IDCJAC0008,002056,1991,10,17.5,01,Y
IDCJAC0008,002056,1991,11,21.5,13,Y
IDCJAC0008,002056,1991,12,23.5,31,Y
IDCJAC0008,002056,1992,01,21.5,05,Y
IDCJAC0008,002056,1992,02,21.5,05,Y
IDCJAC0008,002056,1992,03,23.0,25,Y
IDCJAC0008,002056,1992,04,15.8,29,Y
IDCJAC0008,002056,1992,05,15.4,31,Y
IDCJAC0008,002056,1992,06,10.0,29,Y
IDCJAC0008,002056,1992,07,10.9,01,Y
IDCJAC0008,002056,1992,08,12.3,03,Y
IDCJAC0008,002056,1992,09,17.0,03,Y
IDCJAC0008,002056,1992,10,20.8,13,Y
IDCJAC0008,002056,1992,11,22.3,15,Y
IDCJAC0008,002056,1992,12,22.7,12,Y
IDCJAC0008,002056,1993,01,22.4,04,Y
IDCJAC0008,002056,1993,02,23.4,28,Y
IDCJAC0008,002056,1993,03,22.2,03,Y
IDCJAC0008,002056,1993,04,19.5,10,Y
IDCJAC0008,002056,1993,05,18.5,21,Y
IDCJAC0008,002056,1993,06,12.4,22,Y
IDCJAC0008,002056,1993,07,8.5,13,Y
IDCJAC0008,002056,1993,08,11.3,06,Y
IDCJAC0008,002056,1993,09,14.5,16,Y
IDCJAC0008,002056,1993,10,19.1,07,Y
IDCJAC0008,002056,1993,11,20.9,05,Y
IDCJAC0008,002056,1993,12,23.1,08,Y
IDCJAC0008,002056,1994,01,22.2,14,Y
IDCJAC0008,002056,1994,02,22.7,08,Y
IDCJAC0008,002056,1994,03,17.4,17,Y
IDCJAC0008,002056,1994,04,13.0,13,Y
IDCJAC0008,002056,1994,05,10.8,22,Y
IDCJAC0008,002056,1994,06,9.1,30,Y
IDCJAC0008,002056,1994,07,7.9,02,Y
IDCJAC0008,002056,1994,08,8.1,04,Y
IDCJAC0008,002056,1994,09,12.2,12,Y
IDCJAC0008,002056,1994,10,14.4,13,Y
IDCJAC0008,002056,1994,11,20.2,04,Y
IDCJAC0008,002056,1994,12,21.3,10,Y
IDCJAC0008,002056,1995,01,22.6,10,Y
IDCJAC0008,002056,1995,02,22.4,23,Y
IDCJAC0008,002056,1995,03,19.9,26,Y
IDCJAC0008,002056,1995,04,14.5,29,Y
IDCJAC0008,002056,1995,05,12.3,29,Y
IDCJAC0008,002056,1995,06,8.8,24,Y
IDCJAC0008,002056,1995,07,10.1,30,Y
IDCJAC0008,002056,1995,08,9.3,10,Y
IDCJAC0008,002056,1995,09,19.4,16,Y
IDCJAC0008,002056,1995,10,15.3,17,Y
IDCJAC0008,002056,1995,11,22.1,27,Y
IDCJAC0008,002056,1995,12,22.4,09,Y
IDCJAC0008,002056,1996,01,19.3,10,Y
IDCJAC0008,002056,1996,02,21.0,12,Y
IDCJAC0008,002056,1996,03,17.6,24,Y
IDCJAC0008,002056,1996,04,14.8,20,Y
IDCJAC0008,002056,1996,05,9.8,24,Y
