Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0008,002056,1986,,,,,21.2,12,17.1,27,15.5,16,12.7,17,10.3,31,8.6,09,13.7,04,22.0,03,19.8,22,25.0,10,
IDCJAC0008,002056,1987,23.5,21,22.2,19,22.5,26,17.5,20,15.0,30,10.2,27,10.2,25,12.8,21,14.0,02,20.5,02,23.6,25,20.8,05,10.2
IDCJAC0008,002056,1988,22.5,10,23.2,04,23.0,17,15.5,14,16.4,21,10.2,19,13.5,06,,,14.0,21,20.4,27,23.0,28,23.0,14,
IDCJAC0008,002056,1989,22.5,04,20.5,28,21.0,01,21.0,17,15.0,31,10.5,30,11.0,31,10.0,25,13.5,11,18.5,02,20.5,20,22.0,20,10.0
IDCJAC0008,002056,1990,22.5,12,21.0,26,22.0,16,14.0,30,11.5,29,12.0,29,9.0,05,8.0,03,14.5,10,20.0,26,22.0,27,19.0,13,8.0
IDCJAC0008,002056,1991,23.0,07,23.0,27,22.3,24,17.0,30,13.5,18,14.8,23,9.5,17,12.0,19,19.0,01,17.5,01,21.5,13,23.5,31,9.5
IDCJAC0008,002056,1992,21.5,05,21.5,05,23.0,25,15.8,29,15.4,31,10.0,29,10.9,01,12.3,03,17.0,03,20.8,13,22.3,15,22.7,12,10.0
IDCJAC0008,002056,1993,22.4,04,23.4,28,22.2,03,19.5,10,18.5,21,12.4,22,8.5,13,11.3,06,14.5,16,19.1,07,20.9,05,23.1,08,8.5
IDCJAC0008,002056,1994,22.2,14,22.7,08,17.4,17,13.0,13,10.8,22,9.1,30,7.9,02,8.1,04,12.2,12,14.4,13,20.2,04,21.3,10,7.9
IDCJAC0008,002056,1995,22.6,10,22.4,23,19.9,26,14.5,29,12.3,29,8.8,24,10.1,30,9.3,10,19.4,16,15.3,17,22.1,27,22.4,09,8.8
IDCJAC0008,002056,1996,19.3,10,21.0,12,17.6,24,14.8,20,9.8,24,12.2,14,9.3,27,10.7,01,13.0,05,19.5,10,17.3,25,21.8,14,9.3
IDCJAC0008,002056,1997,22.4,04,23.4,21,16.1,26,16.8,09,14.1,27,10.4,18,10.3,07,10.2,17,17.9,04,17.1,24,20.7,27,23.6,01,10.2
IDCJAC0008,002056,1998,22.4,11,22.7,24,21.7,31,20.5,28,12.2,29,9.3,26,13.6,14,13.5,30,16.5,11,21.3,24,23.5,26,23.4,11,9.3
IDCJAC0008,002056,1999,22.8,30,21.4,08,21.6,03,14.8,29,11.9,12,8.1,29,8.9,27,10.0,17,13.6,02,20.3,21,19.2,14,22.6,31,8.1
IDCJAC0008,002056,2000,21.2,31,22.4,24,23.3,21,19.1,30,13.9,04,11.1,02,8.5,30,11.4,05,14.7,13,16.7,21,23.0,18,23.4,19,8.5
IDCJAC0008,002056,2001,22.8,01,21.6,28,22.9,17,15.7,25,11.9,20,12.6,01,10.2,31,9.9,01,12.7,03,21.1,27,21.6,27,21.9,30,9.9
IDCJAC0008,002056,2002,22.4,01,22.9,20,19.2,31,18.8,01,13.1,29,10.3,27,8.0,02,9.7,02,16.9,02,15.2,03,21.4,23,21.5,25,8.0
IDCJAC0008,002056,2003,23.2,24,22.3,06,18.0,13,16.3,27,12.6,31,11.2,23,8.8,27,9.4,03,10.1,06,16.7,13,22.8,11,20.9,24,8.8
IDCJAC0008,002056,2004,21.3,22,21.9,04,22.5,29,15.0,21,14.7,01,8.2,19,7.6,23,11.8,22,12.5,15,19.4,25,21.9,15,22.4,27,7.6
IDCJAC0008,002056,2005,21.5,08,22.8,22,18.8,28,18.7,21,12.0,20,8.8,30,9.1,01,10.6,10,16.8,21,22.7,03,22.7,19,22.3,12,8.8
IDCJAC0008,002056,2006,21.3,12,21.7,18,22.4,17,18.5,09,9.9,30,9.8,22,8.2,21,10.6,07,12.6,02,16.4,08,20.3,28,22.5,29,8.2
IDCJAC0008,002056,2007,22.7,29,21.8,20,21.0,01,18.6,23,15.6,24,7.8,30,7.4,22,8.6,07,10.6,07,15.8,01,18.5,25,22.5,10,7.4
IDCJAC0008,002056,2008,21.3,14,22.9,20,20.8,31,13.8,27,11.0,21,10.6,28,7.2,11,9.9,20,14.7,26,18.0,12,24.1,12,22.6,15,7.2
IDCJAC0008,002056,2009,22.4,26,22.5,10,19.2,20,15.9,30,12.0,13,8.1,20,9.0,18,10.4,05,15.4,10,15.0,11,19.8,25,20.0,04,8.1
IDCJAC0008,002056,2010,22.2,31,21.9,01,21.0,12,19.7,24,14.7,09,11.4,08,14.3,22,11.0,14,13.9,01,18.1,19,16.4,06,20.8,02,11.0
IDCJAC0008,002056,2011,21.9,28,22.5,14,22.6,10,14.7,19,10.4,29,6.7,14,8.9,25,10.9,02,9.3,14,17.9,18,22.3,04,22.2,03,6.7
IDCJAC0008,002056,2012,21.6,21,21.1,10,18.9,26,11.9,30,8.6,30,7.7,21,6.7,07,7.3,14,12.5,11,13.9,15,21.2,19,20.6,27,6.7
IDCJAC0008,002056,2013,21.4,31,21.5,19,21.2,20,14.1,28,11.3,27,10.5,17,6.4,27,7.0,06,15.2,08,15.3,06,19.5,02,21.2,17,6.4
IDCJAC0008,002056,2014,18.8,09,19.9,23,16.9,29,17.5,20,14.8,09,8.5,11,7.3,03,6.3,17,10.0,01,13.9,18,23.1,12,22.5,04,6.3
IDCJAC0008,002056,2015,22.0,12,19.5,05,20.0,13,13.4,27,9.2,17,9.4,27,8.7,21,10.2,06,11.4,28,15.8,04,22.7,16,21.7,12,8.7
IDCJAC0008,002056,2016,22.1,07,22.0,23,22.5,10,17.2,26,15.2,15,11.4,30,7.8,18,7.3,05,18.5,08,16.1,15,18.6,17,22.9,19,7.3
IDCJAC0008,002056,2017,22.6,24,19.9,22,23.4,10,17.5,05,12.0,12,9.2,14,10.1,22,8.7,04,11.1,01,19.2,24,17.3,04,22.8,15,8.7
IDCJAC0008,002056,2018,21.8,02,23.1,27,20.6,16,14.0,30,10.1,15,8.8,05,8.4,14,6.1,15,12.9,12,18.2,01,22.8,03,22.2,31,6.1
IDCJAC0008,002056,2019,22.3,04,22.0,03,21.3,10,16.4,03,11.8,30,7.7,24,8.9,06,7.6,15,10.2,01,14.7,12,18.2,07,22.3,16,7.6
IDCJAC0008,002056,2020,22.5,17,22.2,23,20.1,10,17.9,29,10.4,25,9.7,26,8.8,15,9.8,02,17.3,09,17.8,13,22.1,08,23.0,23,8.8
IDCJAC0008,002056,2021,23.6,27,22.7,10,20.0,31,13.4,25,10.6,19,8.3,12,8.7,06,9.6,08,9.6,24,17.5,16,16.3,18,22.2,28,8.3
IDCJAC0008,002056,2022,22.9,06,22.4,15,22.0,31,16.1,10,13.7,29,9.8,13,6.0,12,7.5,26,16.7,06,21.7,03,19.9,02,19.3,03,6.0
IDCJAC0008,002056,2023,22.6,23,21.7,07,19.8,12,13.7,18,9.1,31,8.5,01,8.5,27,10.8,22,12.4,01,14.5,20,22.5,24,22.8,05,8.5
