Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,002056,1986,03,38.2,Y
IDCJAC0002,002056,1986,04,36.2,Y
IDCJAC0002,002056,1986,05,34.9,Y
IDCJAC0002,002056,1986,06,31.1,Y
IDCJAC0002,002056,1986,07,29.6,Y
IDCJAC0002,002056,1986,08,32.0,Y
IDCJAC0002,002056,1986,09,36.9,Y
IDCJAC0002,002056,1986,10,39.5,Y
IDCJAC0002,002056,1986,11,40.1,Y
IDCJAC0002,002056,1986,12,41.4,Y
IDCJAC0002,002056,1987,01,35.4,Y
IDCJAC0002,002056,1987,02,33.6,Y
IDCJAC0002,002056,1987,03,36.5,Y
IDCJAC0002,002056,1987,04,35.8,Y
IDCJAC0002,002056,1987,05,33.6,Y
IDCJAC0002,002056,1987,06,31.0,Y
IDCJAC0002,002056,1987,07,30.5,Y
IDCJAC0002,002056,1987,08,32.2,Y
IDCJAC0002,002056,1987,09,35.7,Y
IDCJAC0002,002056,1987,10,40.2,Y
IDCJAC0002,002056,1987,11,39.7,Y
IDCJAC0002,002056,1987,12,36.6,Y
IDCJAC0002,002056,1988,01,37.2,Y
IDCJAC0002,002056,1988,02,37.6,Y
IDCJAC0002,002056,1988,03,38.4,Y
IDCJAC0002,002056,1988,04,36.0,Y
IDCJAC0002,002056,1988,05,35.4,Y
IDCJAC0002,002056,1988,06,32.2,Y
IDCJAC0002,002056,1988,09,37.7,Y
IDCJAC0002,002056,1988,10,40.1,Y
IDCJAC0002,002056,1988,11,38.1,Y
IDCJAC0002,002056,1988,12,35.7,Y
IDCJAC0002,002056,1989,01,37.9,Y
IDCJAC0002,002056,1989,02,38.2,Y
IDCJAC0002,002056,1989,03,33.2,Y
IDCJAC0002,002056,1989,04,35.5,Y
IDCJAC0002,002056,1989,05,33.7,Y
IDCJAC0002,002056,1989,06,30.0,Y
IDCJAC0002,002056,1989,07,31.1,Y
IDCJAC0002,002056,1989,08,31.8,Y
IDCJAC0002,002056,1989,09,37.2,Y
IDCJAC0002,002056,1989,10,40.0,Y
IDCJAC0002,002056,1989,11,39.8,Y
IDCJAC0002,002056,1989,12,38.7,Y
IDCJAC0002,002056,1990,01,36.2,Y
IDCJAC0002,002056,1990,02,37.5,Y
IDCJAC0002,002056,1990,03,38.4,Y
IDCJAC0002,002056,1990,04,36.6,Y
IDCJAC0002,002056,1990,05,33.4,Y
IDCJAC0002,002056,1990,06,29.8,Y
IDCJAC0002,002056,1990,07,32.4,Y
IDCJAC0002,002056,1990,08,34.0,Y
IDCJAC0002,002056,1990,09,35.4,Y
IDCJAC0002,002056,1990,10,39.6,Y
IDCJAC0002,002056,1990,11,41.4,Y
IDCJAC0002,002056,1990,12,37.1,Y
IDCJAC0002,002056,1991,01,35.5,Y
IDCJAC0002,002056,1991,02,33.5,Y
IDCJAC0002,002056,1991,03,38.3,Y
IDCJAC0002,002056,1991,04,36.3,Y
IDCJAC0002,002056,1991,05,32.9,Y
IDCJAC0002,002056,1991,06,32.7,Y
