Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,002056,1986,null,null,38.2,36.2,34.9,31.1,29.6,32.0,36.9,39.5,40.1,41.4,null
IDCJAC0002,002056,1987,35.4,33.6,36.5,35.8,33.6,31.0,30.5,32.2,35.7,40.2,39.7,36.6,35.1
IDCJAC0002,002056,1988,37.2,37.6,38.4,36.0,35.4,32.2,null,null,37.7,40.1,38.1,35.7,null
IDCJAC0002,002056,1989,37.9,38.2,33.2,35.5,33.7,30.0,31.1,31.8,37.2,40.0,39.8,38.7,35.6
IDCJAC0002,002056,1990,36.2,37.5,38.4,36.6,33.4,29.8,32.4,34.0,35.4,39.6,41.4,37.1,36.0
IDCJAC0002,002056,1991,35.5,33.5,38.3,36.3,32.9,32.7,31.3,32.8,36.8,39.8,37.8,40.2,35.7
IDCJAC0002,002056,1992,39.3,36.6,38.4,36.1,34.8,31.3,30.7,34.0,37.8,38.4,39.4,40.2,36.4
IDCJAC0002,002056,1993,36.6,33.0,37.0,36.2,32.3,29.6,30.1,32.9,35.8,38.5,39.4,36.2,34.8
IDCJAC0002,002056,1994,37.0,34.0,34.5,34.8,32.6,30.1,29.9,30.2,35.9,38.7,39.5,36.3,34.5
IDCJAC0002,002056,1995,36.0,34.3,34.3,34.2,31.9,30.0,31.5,31.9,37.5,37.5,39.0,36.6,34.6
IDCJAC0002,002056,1996,38.2,36.1,34.9,33.5,31.9,32.9,31.7,33.6,36.7,38.3,38.8,35.2,35.1
IDCJAC0002,002056,1997,33.2,33.8,36.1,35.5,32.9,29.7,29.0,32.6,37.0,37.6,38.7,36.0,34.3
IDCJAC0002,002056,1998,36.3,37.1,37.8,36.4,34.0,32.5,32.1,34.3,37.0,38.9,37.8,35.0,35.8
IDCJAC0002,002056,1999,35.6,34.3,34.7,33.8,32.5,30.4,29.9,32.8,36.2,36.8,36.7,35.9,34.1
IDCJAC0002,002056,2000,34.2,33.3,33.6,33.1,29.8,27.7,30.9,33.5,36.8,36.1,39.6,35.1,33.6
IDCJAC0002,002056,2001,35.0,34.1,33.5,34.2,31.7,30.3,30.4,32.1,36.3,38.0,37.0,36.2,34.1
IDCJAC0002,002056,2002,35.9,33.3,37.0,37.3,34.2,29.5,29.8,32.0,36.4,39.9,38.2,38.8,35.2
IDCJAC0002,002056,2003,37.4,35.0,35.2,36.2,33.4,30.7,30.3,32.1,36.5,38.9,38.8,35.8,35.0
IDCJAC0002,002056,2004,35.6,32.4,33.7,35.0,32.5,29.6,30.5,33.0,34.7,39.4,39.2,39.5,34.6
IDCJAC0002,002056,2005,35.9,36.8,35.7,37.0,33.5,30.9,31.3,32.3,37.1,39.7,39.2,36.9,35.5
IDCJAC0002,002056,2006,33.5,35.7,32.3,34.0,30.1,28.0,28.6,32.0,35.6,37.6,40.3,36.8,33.7
IDCJAC0002,002056,2007,35.2,37.2,32.9,34.8,34.1,26.2,28.6,31.7,36.5,38.8,39.4,37.0,34.4
IDCJAC0002,002056,2008,35.9,33.0,34.9,35.0,32.4,29.9,30.4,31.5,36.8,39.2,39.6,35.2,34.5
IDCJAC0002,002056,2009,34.4,33.7,36.5,36.5,32.4,31.0,31.0,34.4,37.7,38.2,39.3,37.8,35.2
IDCJAC0002,002056,2010,35.1,36.1,35.6,35.3,31.3,29.4,31.2,32.5,36.5,34.9,37.8,36.1,34.3
IDCJAC0002,002056,2011,33.5,32.2,32.2,31.4,30.0,27.7,30.3,32.2,34.8,37.5,37.1,38.1,33.1
IDCJAC0002,002056,2012,36.5,36.9,33.8,34.2,31.4,29.5,29.7,33.5,37.9,38.4,38.7,38.1,34.9
IDCJAC0002,002056,2013,37.3,35.8,36.5,35.2,34.1,32.4,32.0,34.8,38.3,39.9,39.4,37.3,36.1
IDCJAC0002,002056,2014,35.8,33.5,36.6,36.0,34.5,30.4,30.9,31.2,37.2,39.9,40.0,38.1,35.3
IDCJAC0002,002056,2015,34.7,37.0,38.3,36.3,33.8,31.7,31.0,33.6,36.8,39.0,40.0,36.3,35.7
IDCJAC0002,002056,2016,37.4,38.6,37.6,37.5,34.8,33.8,31.8,33.7,37.7,39.3,40.7,37.1,36.7
IDCJAC0002,002056,2017,33.6,34.0,35.8,34.7,33.7,30.4,33.0,34.2,37.4,40.4,38.2,37.4,35.2
IDCJAC0002,002056,2018,34.3,34.3,36.8,37.7,33.1,31.4,32.3,32.3,37.9,39.8,39.4,40.5,35.8
IDCJAC0002,002056,2019,36.4,37.3,38.1,36.5,33.8,30.6,31.9,32.6,36.3,39.9,41.1,41.4,36.3
IDCJAC0002,002056,2020,36.9,36.3,36.7,37.4,31.7,31.8,31.0,35.3,38.0,38.3,39.9,34.9,35.7
IDCJAC0002,002056,2021,36.1,34.7,34.7,35.8,33.5,31.1,33.0,34.1,36.5,40.8,38.9,39.6,35.7
IDCJAC0002,002056,2022,35.3,35.5,37.0,37.1,34.7,31.3,29.1,34.0,38.2,39.9,38.0,36.5,35.5
IDCJAC0002,002056,2023,34.6,34.7,36.5,33.6,30.5,32.3,29.8,33.9,36.8,39.4,39.3,40.3,35.1
IDCJAC0002,002056,2024,35.3,36.1,34.4,34.0,32.8,30.8,31.0,35.5,null,null,null,null,null
