Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,002056,1986,03,24.6,Y
IDCJAC0004,002056,1986,04,22.9,Y
IDCJAC0004,002056,1986,05,19.9,Y
IDCJAC0004,002056,1986,06,18.9,Y
IDCJAC0004,002056,1986,07,17.8,Y
IDCJAC0004,002056,1986,08,17.2,Y
IDCJAC0004,002056,1986,09,22.1,Y
IDCJAC0004,002056,1986,10,24.9,Y
IDCJAC0004,002056,1986,11,25.9,Y
IDCJAC0004,002056,1986,12,27.3,Y
IDCJAC0004,002056,1987,01,25.5,Y
IDCJAC0004,002056,1987,02,24.9,Y
IDCJAC0004,002056,1987,03,24.3,Y
IDCJAC0004,002056,1987,04,21.9,Y
IDCJAC0004,002056,1987,05,21.3,Y
IDCJAC0004,002056,1987,06,17.5,Y
IDCJAC0004,002056,1987,07,14.6,Y
IDCJAC0004,002056,1987,08,16.9,Y
IDCJAC0004,002056,1987,09,19.3,Y
IDCJAC0004,002056,1987,10,24.7,Y
IDCJAC0004,002056,1987,11,26.5,Y
IDCJAC0004,002056,1987,12,25.8,Y
IDCJAC0004,002056,1988,01,25.7,Y
IDCJAC0004,002056,1988,02,25.5,Y
IDCJAC0004,002056,1988,03,26.1,Y
IDCJAC0004,002056,1988,04,22.1,Y
IDCJAC0004,002056,1988,05,21.1,Y
IDCJAC0004,002056,1988,06,14.9,Y
IDCJAC0004,002056,1988,07,18.6,Y
IDCJAC0004,002056,1988,09,21.2,Y
IDCJAC0004,002056,1988,10,25.1,Y
IDCJAC0004,002056,1988,11,25.7,Y
IDCJAC0004,002056,1988,12,25.0,Y
IDCJAC0004,002056,1989,01,25.3,Y
IDCJAC0004,002056,1989,02,24.6,Y
IDCJAC0004,002056,1989,03,23.8,Y
IDCJAC0004,002056,1989,04,23.4,Y
IDCJAC0004,002056,1989,05,19.5,Y
IDCJAC0004,002056,1989,06,16.0,Y
IDCJAC0004,002056,1989,07,15.7,Y
IDCJAC0004,002056,1989,08,15.6,Y
IDCJAC0004,002056,1989,09,18.5,Y
