Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,002056,1986,null,null,24.6,22.9,19.9,18.9,17.8,17.2,22.1,24.9,25.9,27.3,null
IDCJAC0004,002056,1987,25.5,24.9,24.3,21.9,21.3,17.5,14.6,16.9,19.3,24.7,26.5,25.8,21.9
IDCJAC0004,002056,1988,25.7,25.5,26.1,22.1,21.1,14.9,18.6,null,21.2,25.1,25.7,25.0,null
IDCJAC0004,002056,1989,25.3,24.6,23.8,23.4,19.5,16.0,15.7,15.6,18.5,23.0,23.9,24.5,21.1
IDCJAC0004,002056,1990,24.4,24.9,25.0,21.1,20.1,16.2,16.1,16.1,19.4,24.2,26.2,25.3,21.6
IDCJAC0004,002056,1991,25.2,24.8,25.0,23.9,18.7,17.9,16.9,15.5,22.0,23.4,25.7,27.0,22.2
IDCJAC0004,002056,1992,25.9,25.2,25.3,23.7,21.5,16.3,14.9,18.4,22.7,24.7,26.0,26.9,22.6
IDCJAC0004,002056,1993,25.3,24.4,24.5,22.8,21.1,17.7,15.2,17.7,20.6,23.9,25.7,25.5,22.0
IDCJAC0004,002056,1994,25.3,24.6,22.2,20.2,18.2,14.2,13.0,14.9,17.8,22.1,24.7,25.1,20.2
IDCJAC0004,002056,1995,24.9,25.2,23.9,21.2,19.2,16.0,16.0,16.9,21.7,23.2,25.5,25.4,21.6
IDCJAC0004,002056,1996,25.6,24.6,22.8,21.3,16.7,17.2,14.7,17.3,18.9,23.3,23.6,24.6,20.9
IDCJAC0004,002056,1997,24.2,25.2,22.4,20.4,19.9,16.2,14.9,16.9,20.5,23.7,24.5,25.2,21.2
IDCJAC0004,002056,1998,25.5,25.3,25.1,23.9,19.7,18.5,18.9,17.5,21.8,25.4,25.9,25.4,22.7
IDCJAC0004,002056,1999,24.9,24.7,24.4,21.6,15.5,15.3,13.4,16.2,19.5,24.4,24.3,25.1,20.8
IDCJAC0004,002056,2000,24.6,24.2,24.3,23.4,19.8,15.0,14.7,16.0,20.4,23.3,25.5,25.1,21.4
IDCJAC0004,002056,2001,25.0,24.7,24.4,22.2,16.6,17.5,17.6,14.4,21.2,24.8,25.5,25.0,21.6
IDCJAC0004,002056,2002,24.6,24.4,24.1,22.1,18.7,14.2,11.8,13.7,21.1,22.8,25.4,26.1,20.8
IDCJAC0004,002056,2003,25.9,25.0,22.7,23.1,18.6,15.3,15.6,16.5,21.2,22.6,25.5,25.1,21.4
IDCJAC0004,002056,2004,25.1,24.8,24.6,21.0,20.5,15.0,13.9,15.3,18.5,23.5,25.4,25.8,21.1
IDCJAC0004,002056,2005,24.8,24.7,24.0,21.6,16.5,16.8,16.3,15.8,21.3,25.1,25.8,25.4,21.5
IDCJAC0004,002056,2006,24.8,24.4,24.3,23.1,17.1,14.1,12.8,14.7,18.3,22.5,25.7,25.2,20.6
IDCJAC0004,002056,2007,25.3,25.0,24.5,21.1,21.6,15.4,12.5,14.9,18.5,23.0,24.1,25.4,20.9
IDCJAC0004,002056,2008,24.9,24.6,24.0,17.8,14.7,15.5,11.7,15.4,20.8,23.2,26.7,25.1,20.4
IDCJAC0004,002056,2009,24.7,24.3,23.4,21.7,18.3,15.3,15.1,16.1,21.1,21.8,24.9,25.2,21.0
IDCJAC0004,002056,2010,25.0,24.9,24.4,23.8,21.2,14.9,18.5,17.6,22.5,23.1,22.9,24.6,21.9
IDCJAC0004,002056,2011,24.3,24.1,24.4,20.5,15.4,11.3,14.8,13.5,16.4,22.4,24.2,25.4,19.7
IDCJAC0004,002056,2012,24.8,24.0,24.0,20.8,16.0,11.7,13.5,11.6,16.6,21.4,24.9,24.8,19.5
IDCJAC0004,002056,2013,25.2,24.7,24.7,20.0,20.1,17.0,14.9,13.4,19.4,22.9,24.8,25.0,21.0
IDCJAC0004,002056,2014,24.4,24.1,23.7,22.5,19.1,15.6,13.8,13.7,16.1,21.7,25.5,26.1,20.5
IDCJAC0004,002056,2015,25.0,24.4,25.0,21.6,16.1,15.5,14.0,15.1,17.1,22.9,25.2,25.1,20.6
IDCJAC0004,002056,2016,26.0,25.6,25.9,21.5,21.0,19.1,14.8,15.3,22.5,22.6,25.5,25.9,22.1
IDCJAC0004,002056,2017,24.9,24.1,25.4,21.9,17.3,15.0,15.6,14.8,17.5,24.5,24.2,25.6,20.9
IDCJAC0004,002056,2018,24.9,24.7,23.7,21.0,16.6,13.4,12.1,12.6,18.5,23.7,25.2,26.3,20.2
IDCJAC0004,002056,2019,25.4,24.8,24.4,21.7,18.9,14.7,13.1,13.8,17.5,21.2,23.9,25.9,20.4
IDCJAC0004,002056,2020,25.6,25.8,23.2,22.4,17.4,14.8,13.0,15.9,21.4,23.7,25.5,25.0,21.1
IDCJAC0004,002056,2021,25.1,25.0,24.2,19.6,15.7,15.3,13.4,16.2,19.3,23.9,24.4,25.7,20.6
IDCJAC0004,002056,2022,24.8,24.6,24.4,20.8,18.6,16.5,10.3,14.3,21.1,24.3,24.8,24.1,20.7
IDCJAC0004,002056,2023,24.8,24.4,23.5,22.4,14.5,15.9,15.1,15.9,17.9,20.4,24.8,26.2,20.5
IDCJAC0004,002056,2024,25.2,25.4,25.3,20.6,18.9,13.9,15.1,15.5,null,null,null,null,null
