"Monthly Climate Statistics for 'MERREDIN' [010092]"
"Created on [ 25 Sep 2024 14:38:59 UTC]"

"010092 MERREDIN"
"Commenced: 1903"
"Last Record: 2024"
"Latitude:   31.48 Degrees South"
"Longitude:  118.28 Degrees East"
"Elevation:     315 m"
"State: WA"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (°C) for years 1966 to 2024 ",34.0,33.3,30.4,25.5,20.9,17.4,16.4,17.6,20.7,25.1,28.8,32.3,25.2,58,1966,2024
"Highest temperature (°C) for years 1966 to 2024 ",46.0,46.2,42.3,38.5,33.4,27.3,25.1,30.8,34.6,39.5,43.5,44.5,46.2,59,1966,2024
"Date of Highest temperature  °C  for years 1966 to 2024 ",23 Jan  1980,01 Feb  1991,03 Mar  1977,01 Apr  2021,03 May  1972,01 Jun  2017,31 Jul  1969,29 Aug  2006,21 Sep  1987,17 Oct  2023,17 Nov  2019,29 Dec  2009,01 Feb  1991,N/A,1966,2024
"Lowest maximum temperature (°C) for years 1966 to 2024 ",15.8,18.0,15.1,13.6,11.7,10.0,9.5,7.4,11.0,13.7,12.2,17.2,7.4,59,1966,2024
"Date of Lowest maximum temperature  °C  for years 1966 to 2024 ",04 Jan  2007,17 Feb  1981,27 Mar  1968,21 Apr  1970,25 May  1981,21 Jun  2021,02 Jul  1981,19 Aug  1979,24 Sep  1971,17 Oct  1973,10 Nov  1971,01 Dec  1983,19 Aug  1979,N/A,1966,2024
"Decile 1 maximum temperature (°C) for years 1966 to 2024 ",28.0,27.0,24.2,20.0,16.4,13.9,13.2,13.8,16.0,19.3,22.6,26.0, ,54,1966,2024
"Decile 9 maximum temperature (°C) for years 1966 to 2024 ",40.1,39.5,36.5,31.5,25.5,21.2,19.8,21.8,26.3,31.5,35.3,38.5, ,54,1966,2024
"Mean number of days >= 30 °C for years 1966 to 2024 ",24.8,21.2,15.2,4.9,0.3,0.0,0.0,0.0,0.7,5.0,12.2,20.5,104.8,59,1966,2024
"Mean number of days >= 35 °C for years 1966 to 2024 ",13.4,10.8,5.4,0.6,0.0,0.0,0.0,0.0,0.0,0.7,3.7,9.5,44.1,59,1966,2024
"Mean number of days >= 40 °C for years 1966 to 2024 ",3.5,2.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.7,8.5,59,1966,2024
"Mean minimum temperature (°C) for years 1966 to 2024 ",17.9,18.1,16.4,12.9,8.9,6.8,5.6,5.6,6.9,9.8,13.3,15.9,11.5,58,1966,2024
"Lowest temperature (°C) for years 1966 to 2024 ",6.4,7.1,2.8,2.5,-1.4,-2.9,-3.4,-2.8,-1.8,-0.3,0.6,3.3,-3.4,59,1966,2024
"Date of Lowest temperature  °C  for years 1966 to 2024 ",07 Jan  1989,16 Feb  1990,24 Mar  2001,27 Apr  2006,02 May  1968,27 Jun  1990,02 Jul  1990,27 Aug  1969,03 Sep  1970,06 Oct  1968,01 Nov  1968,02 Dec  1973,02 Jul  1990,N/A,1966,2024
"Highest minimum temperature (°C) for years 1966 to 2024 ",29.7,29.4,26.8,23.0,22.0,15.3,14.8,16.6,19.0,23.5,25.3,27.6,29.7,59,1966,2024
"Date of Highest minimum temperature  °C  for years 1966 to 2024 ",08 Jan  2013,27 Feb  1997,15 Mar  2002,01 Apr  1989,02 May  2002,17 Jun  1988,30 Jul  2001,07 Aug  2006,22 Sep  2023,27 Oct  2010,10 Nov  2014,27 Dec  2007,08 Jan  2013,N/A,1966,2024
"Decile 1 minimum temperature (°C) for years 1966 to 2024 ",13.5,13.4,11.7,8.0,4.0,1.8,0.8,0.8,2.3,4.6,8.7,11.5, ,54,1966,2024
"Decile 9 minimum temperature (°C) for years 1966 to 2024 ",23.2,23.0,20.8,17.5,13.9,11.2,10.0,10.3,11.4,14.9,18.4,20.9, ,54,1966,2024
"Mean number of days <= 2 °C for years 1966 to 2024 ",0.0,0.0,0.0,0.0,0.8,3.3,5.1,5.5,2.6,0.4,0.0,0.0,17.7,59,1966,2024
"Mean number of days <= 0 °C for years 1966 to 2024 ",0.0,0.0,0.0,0.0,0.2,0.6,1.4,1.5,0.5,0.0,0.0,0.0,4.2,59,1966,2024
"Mean daily ground minimum temperature °C for years 1966 to 1988 ",15.9,16.3,14.5,10.3,6.4,4.9,3.5,2.9,4.4,7.5,11.1,14.0,9.3,18,1966,1988
"Lowest ground temperature °C for years 1966 to 1988 ",4.6,5.0,3.9,-0.6,-4.2,-4.5,-4.9,-4.2,-5.6,-2.2,-1.4,1.4,-5.6,19,1966,1988
"Date of Lowest ground temperature °C for years 1966 to 1988 ",14 Jan  1988,15 Feb  1986,28 Mar  1968,24 Apr  1970,30 May  1966,25 Jun  1973,27 Jul  1976,28 Aug  1968,03 Sep  1970,06 Oct  1968,01 Nov  1968,02 Dec  1973,03 Sep  1970,N/A,1966,1988
"Mean number of days ground min. temp. <= -1 °C for years 1966 to 1988 ",0.0,0.0,0.0,0.0,0.5,1.7,3.2,4.4,1.4,0.1,0.1,0.0,11.4,19,1966,1988
"Mean rainfall (mm) for years 1903 to 2024 ",14.5,15.8,21.4,22.8,39.9,48.5,50.0,39.4,25.4,18.6,15.1,13.7,325.3,122,1903,2024
"Highest rainfall (mm) for years 1903 to 2024 ",134.6,113.4,161.0,113.6,131.6,134.7,126.6,99.0,85.6,75.2,87.4,92.5,565.0,122,1903,2024
"Date of Highest rainfall for years 1903 to 2024 ",2001,1978,1927,1934,1963,1968,1960,1992,1904,1932,2012,1923,1917,N/A,1903,2024
"Lowest rainfall (mm) for years 1903 to 2024 ",0.0,0.0,0.0,0.0,1.3,5.0,8.7,1.1,0.0,0.0,0.0,0.0,130.3,122,1903,2024
"Date of Lowest rainfall for years 1903 to 2024 ",2022,2023,2011,2024,1948,2017,1957,1956,1914,1969,2007,2021,1914,N/A,1903,2024
"Decile 1 monthly rainfall (mm) for years 1800 to 3000 ",0.0,0.0,0.3,2.8,8.1,19.9,24.0,17.1,8.5,3.4,0.0,0.0, ,122,n/a,n/a
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",5.4,6.3,11.5,15.5,36.6,44.0,47.6,38.8,23.1,14.0,11.4,5.8, ,122,n/a,n/a
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",40.7,45.3,55.1,51.9,73.4,81.3,77.7,65.2,45.5,38.2,37.0,39.2, ,122,n/a,n/a
"Highest daily rainfall (mm) for years 1904 to 2024 ",65.5,66.0,82.6,59.7,49.3,59.4,44.7,37.0,44.7,49.0,37.6,48.5,82.6,118,1904,2024
"Date of Highest daily rainfall for years 1904 to 2024 ",02 Jan  1966,14 Feb  1951,19 Mar  1917,17 Apr  1919,18 May  1944,22 Jun  1972,21 Jul  1960,01 Aug  2015,21 Sep  1955,19 Oct  2014,01 Nov  2012,03 Dec  1940,19 Mar  1917,N/A,1904,2024
