Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,010092,2024,01,01,30.5
IDCJAC0016,010092,2024,01,02,24.5
IDCJAC0016,010092,2024,01,03,30.3
IDCJAC0016,010092,2024,01,04,26.9
IDCJAC0016,010092,2024,01,05,29.3
IDCJAC0016,010092,2024,01,06,31.3
IDCJAC0016,010092,2024,01,07,29.2
IDCJAC0016,010092,2024,01,08,29.3
IDCJAC0016,010092,2024,01,09,31.1
IDCJAC0016,010092,2024,01,10,30.6
IDCJAC0016,010092,2024,01,11,21.5
IDCJAC0016,010092,2024,01,12,22.2
IDCJAC0016,010092,2024,01,13,28.6
IDCJAC0016,010092,2024,01,14,6.9
IDCJAC0016,010092,2024,01,15,31.2
IDCJAC0016,010092,2024,01,16,23.3
IDCJAC0016,010092,2024,01,17,25.9
IDCJAC0016,010092,2024,01,18,31.1
IDCJAC0016,010092,2024,01,19,30.9
IDCJAC0016,010092,2024,01,20,30.8
IDCJAC0016,010092,2024,01,21,30.7
IDCJAC0016,010092,2024,01,22,30.6
IDCJAC0016,010092,2024,01,23,30.4
IDCJAC0016,010092,2024,01,24,29.5
IDCJAC0016,010092,2024,01,25,29.9
IDCJAC0016,010092,2024,01,26,29.9
IDCJAC0016,010092,2024,01,27,29.9
IDCJAC0016,010092,2024,01,28,29.7
IDCJAC0016,010092,2024,01,29,29.4
IDCJAC0016,010092,2024,01,30,29.4
IDCJAC0016,010092,2024,01,31,29.3
IDCJAC0016,010092,2024,02,01,29.3
IDCJAC0016,010092,2024,02,02,29.2
IDCJAC0016,010092,2024,02,03,28.8
IDCJAC0016,010092,2024,02,04,28.1
IDCJAC0016,010092,2024,02,05,28.7
IDCJAC0016,010092,2024,02,06,28.5
IDCJAC0016,010092,2024,02,07,28.4
IDCJAC0016,010092,2024,02,08,28.1
IDCJAC0016,010092,2024,02,09,28.0
IDCJAC0016,010092,2024,02,10,27.8
IDCJAC0016,010092,2024,02,11,27.6
IDCJAC0016,010092,2024,02,12,27.4
IDCJAC0016,010092,2024,02,13,27.3
IDCJAC0016,010092,2024,02,14,27.0
IDCJAC0016,010092,2024,02,15,25.8
IDCJAC0016,010092,2024,02,16,9.0
IDCJAC0016,010092,2024,02,17,25.2
IDCJAC0016,010092,2024,02,18,22.5
IDCJAC0016,010092,2024,02,19,19.8
IDCJAC0016,010092,2024,02,20,25.4
IDCJAC0016,010092,2024,02,21,26.0
IDCJAC0016,010092,2024,02,22,25.7
IDCJAC0016,010092,2024,02,23,24.9
IDCJAC0016,010092,2024,02,24,8.2
IDCJAC0016,010092,2024,02,25,7.4
IDCJAC0016,010092,2024,02,26,24.2
IDCJAC0016,010092,2024,02,27,24.7
IDCJAC0016,010092,2024,02,28,25.1
IDCJAC0016,010092,2024,02,29,22.7
IDCJAC0016,010092,2024,03,01,24.5
IDCJAC0016,010092,2024,03,02,16.8
IDCJAC0016,010092,2024,03,03,22.2
IDCJAC0016,010092,2024,03,04,15.2
IDCJAC0016,010092,2024,03,05,19.5
IDCJAC0016,010092,2024,03,06,23.7
IDCJAC0016,010092,2024,03,07,22.6
IDCJAC0016,010092,2024,03,08,21.1
IDCJAC0016,010092,2024,03,09,24.0
IDCJAC0016,010092,2024,03,10,23.7
IDCJAC0016,010092,2024,03,11,16.2
IDCJAC0016,010092,2024,03,12,20.7
IDCJAC0016,010092,2024,03,13,13.6
IDCJAC0016,010092,2024,03,14,12.0
IDCJAC0016,010092,2024,03,15,15.7
IDCJAC0016,010092,2024,03,16,22.0
IDCJAC0016,010092,2024,03,17,21.6
IDCJAC0016,010092,2024,03,18,19.7
IDCJAC0016,010092,2024,03,19,21.5
IDCJAC0016,010092,2024,03,20,21.8
IDCJAC0016,010092,2024,03,21,21.5
IDCJAC0016,010092,2024,03,22,21.3
IDCJAC0016,010092,2024,03,23,21.1
IDCJAC0016,010092,2024,03,24,20.9
IDCJAC0016,010092,2024,03,25,20.8
IDCJAC0016,010092,2024,03,26,20.4
IDCJAC0016,010092,2024,03,27,20.4
IDCJAC0016,010092,2024,03,28,20.2
IDCJAC0016,010092,2024,03,29,20.0
IDCJAC0016,010092,2024,03,30,19.4
IDCJAC0016,010092,2024,03,31,18.7
IDCJAC0016,010092,2024,04,01,19.5
IDCJAC0016,010092,2024,04,02,19.5
IDCJAC0016,010092,2024,04,03,19.3
IDCJAC0016,010092,2024,04,04,17.0
IDCJAC0016,010092,2024,04,05,18.9
IDCJAC0016,010092,2024,04,06,15.7
IDCJAC0016,010092,2024,04,07,17.9
IDCJAC0016,010092,2024,04,08,18.5
IDCJAC0016,010092,2024,04,09,17.5
IDCJAC0016,010092,2024,04,10,17.9
IDCJAC0016,010092,2024,04,11,18.0
IDCJAC0016,010092,2024,04,12,16.5
IDCJAC0016,010092,2024,04,13,10.9
IDCJAC0016,010092,2024,04,14,14.8
IDCJAC0016,010092,2024,04,15,15.7
IDCJAC0016,010092,2024,04,16,17.4
IDCJAC0016,010092,2024,04,17,17.1
IDCJAC0016,010092,2024,04,18,17.0
IDCJAC0016,010092,2024,04,19,16.9
IDCJAC0016,010092,2024,04,20,16.7
IDCJAC0016,010092,2024,04,21,16.6
IDCJAC0016,010092,2024,04,22,15.5
IDCJAC0016,010092,2024,04,23,15.3
IDCJAC0016,010092,2024,04,24,12.7
IDCJAC0016,010092,2024,04,25,13.4
IDCJAC0016,010092,2024,04,26,14.9
IDCJAC0016,010092,2024,04,27,15.7
IDCJAC0016,010092,2024,04,28,14.1
IDCJAC0016,010092,2024,04,29,15.4
IDCJAC0016,010092,2024,04,30,10.3
IDCJAC0016,010092,2024,05,01,11.9
IDCJAC0016,010092,2024,05,02,12.8
IDCJAC0016,010092,2024,05,03,13.7
IDCJAC0016,010092,2024,05,04,9.2
IDCJAC0016,010092,2024,05,05,11.6
IDCJAC0016,010092,2024,05,06,13.6
IDCJAC0016,010092,2024,05,07,14.6
IDCJAC0016,010092,2024,05,08,14.0
IDCJAC0016,010092,2024,05,09,10.5
IDCJAC0016,010092,2024,05,10,10.3
IDCJAC0016,010092,2024,05,11,14.0
IDCJAC0016,010092,2024,05,12,11.0
IDCJAC0016,010092,2024,05,13,12.0
IDCJAC0016,010092,2024,05,14,13.0
IDCJAC0016,010092,2024,05,15,13.5
IDCJAC0016,010092,2024,05,16,13.6
IDCJAC0016,010092,2024,05,17,13.5
IDCJAC0016,010092,2024,05,18,13.5
IDCJAC0016,010092,2024,05,19,12.8
IDCJAC0016,010092,2024,05,20,11.7
IDCJAC0016,010092,2024,05,21,11.6
IDCJAC0016,010092,2024,05,22,12.1
IDCJAC0016,010092,2024,05,23,13.1
IDCJAC0016,010092,2024,05,24,10.7
IDCJAC0016,010092,2024,05,25,10.4
IDCJAC0016,010092,2024,05,26,12.8
IDCJAC0016,010092,2024,05,27,12.7
IDCJAC0016,010092,2024,05,28,10.6
IDCJAC0016,010092,2024,05,29,11.3
IDCJAC0016,010092,2024,05,30,9.8
IDCJAC0016,010092,2024,05,31,12.5
IDCJAC0016,010092,2024,06,01,12.5
IDCJAC0016,010092,2024,06,02,9.6
IDCJAC0016,010092,2024,06,03,10.7
IDCJAC0016,010092,2024,06,04,10.2
IDCJAC0016,010092,2024,06,05,12.4
IDCJAC0016,010092,2024,06,06,12.3
IDCJAC0016,010092,2024,06,07,4.2
IDCJAC0016,010092,2024,06,08,6.1
IDCJAC0016,010092,2024,06,09,7.3
IDCJAC0016,010092,2024,06,10,6.6
IDCJAC0016,010092,2024,06,11,5.7
IDCJAC0016,010092,2024,06,12,5.6
IDCJAC0016,010092,2024,06,13,9.9
IDCJAC0016,010092,2024,06,14,11.8
IDCJAC0016,010092,2024,06,15,12.0
IDCJAC0016,010092,2024,06,16,12.0
IDCJAC0016,010092,2024,06,17,10.6
IDCJAC0016,010092,2024,06,18,11.0
IDCJAC0016,010092,2024,06,19,11.0
IDCJAC0016,010092,2024,06,20,11.8
IDCJAC0016,010092,2024,06,21,11.5
IDCJAC0016,010092,2024,06,22,7.8
IDCJAC0016,010092,2024,06,23,10.9
IDCJAC0016,010092,2024,06,24,10.2
IDCJAC0016,010092,2024,06,25,10.9
IDCJAC0016,010092,2024,06,26,10.1
IDCJAC0016,010092,2024,06,27,9.1
IDCJAC0016,010092,2024,06,28,10.3
IDCJAC0016,010092,2024,06,29,7.2
IDCJAC0016,010092,2024,06,30,12.0
IDCJAC0016,010092,2024,07,01,12.3
IDCJAC0016,010092,2024,07,02,10.0
IDCJAC0016,010092,2024,07,03,12.4
IDCJAC0016,010092,2024,07,04,10.4
IDCJAC0016,010092,2024,07,05,12.4
IDCJAC0016,010092,2024,07,06,11.4
IDCJAC0016,010092,2024,07,07,8.5
IDCJAC0016,010092,2024,07,08,12.4
IDCJAC0016,010092,2024,07,09,9.4
IDCJAC0016,010092,2024,07,10,7.9
IDCJAC0016,010092,2024,07,11,11.4
IDCJAC0016,010092,2024,07,12,10.0
IDCJAC0016,010092,2024,07,13,11.9
IDCJAC0016,010092,2024,07,14,12.4
IDCJAC0016,010092,2024,07,15,12.8
IDCJAC0016,010092,2024,07,16,13.1
IDCJAC0016,010092,2024,07,17,12.3
IDCJAC0016,010092,2024,07,18,8.0
IDCJAC0016,010092,2024,07,19,13.2
IDCJAC0016,010092,2024,07,20,12.6
IDCJAC0016,010092,2024,07,21,12.7
IDCJAC0016,010092,2024,07,22,13.5
IDCJAC0016,010092,2024,07,23,7.4
IDCJAC0016,010092,2024,07,24,12.9
IDCJAC0016,010092,2024,07,25,11.8
IDCJAC0016,010092,2024,07,26,12.6
IDCJAC0016,010092,2024,07,27,13.9
IDCJAC0016,010092,2024,07,28,13.4
IDCJAC0016,010092,2024,07,29,9.3
IDCJAC0016,010092,2024,07,30,13.2
IDCJAC0016,010092,2024,07,31,14.4
IDCJAC0016,010092,2024,08,01,14.1
IDCJAC0016,010092,2024,08,02,14.6
IDCJAC0016,010092,2024,08,03,14.7
IDCJAC0016,010092,2024,08,04,14.8
IDCJAC0016,010092,2024,08,05,14.9
IDCJAC0016,010092,2024,08,06,15.0
IDCJAC0016,010092,2024,08,07,11.0
IDCJAC0016,010092,2024,08,08,13.5
IDCJAC0016,010092,2024,08,09,15.3
IDCJAC0016,010092,2024,08,10,15.5
IDCJAC0016,010092,2024,08,11,8.5
IDCJAC0016,010092,2024,08,12,14.8
IDCJAC0016,010092,2024,08,13,15.5
IDCJAC0016,010092,2024,08,14,13.0
IDCJAC0016,010092,2024,08,15,13.2
IDCJAC0016,010092,2024,08,16,15.6
IDCJAC0016,010092,2024,08,17,10.8
IDCJAC0016,010092,2024,08,18,14.2
IDCJAC0016,010092,2024,08,19,10.3
IDCJAC0016,010092,2024,08,20,9.9
IDCJAC0016,010092,2024,08,21,15.4
IDCJAC0016,010092,2024,08,22,10.1
IDCJAC0016,010092,2024,08,23,13.8
IDCJAC0016,010092,2024,08,24,12.9
IDCJAC0016,010092,2024,08,25,13.5
IDCJAC0016,010092,2024,08,26,17.4
IDCJAC0016,010092,2024,08,27,12.0
IDCJAC0016,010092,2024,08,28,18.1
IDCJAC0016,010092,2024,08,29,14.2
IDCJAC0016,010092,2024,08,30,15.3
IDCJAC0016,010092,2024,08,31,16.0
IDCJAC0016,010092,2024,09,01,12.5
IDCJAC0016,010092,2024,09,02,18.8
IDCJAC0016,010092,2024,09,03,14.5
IDCJAC0016,010092,2024,09,04,16.1
IDCJAC0016,010092,2024,09,05,12.7
IDCJAC0016,010092,2024,09,06,17.0
IDCJAC0016,010092,2024,09,07,17.8
IDCJAC0016,010092,2024,09,08,19.7
IDCJAC0016,010092,2024,09,09,15.1
IDCJAC0016,010092,2024,09,10,18.1
IDCJAC0016,010092,2024,09,11,20.1
IDCJAC0016,010092,2024,09,12,20.3
IDCJAC0016,010092,2024,09,13,20.4
IDCJAC0016,010092,2024,09,14,19.7
IDCJAC0016,010092,2024,09,15,20.6
IDCJAC0016,010092,2024,09,16,20.8
IDCJAC0016,010092,2024,09,17,20.9
IDCJAC0016,010092,2024,09,18,21.0
IDCJAC0016,010092,2024,09,19,20.1
IDCJAC0016,010092,2024,09,20,21.3
IDCJAC0016,010092,2024,09,21,21.5
IDCJAC0016,010092,2024,09,22,21.6
IDCJAC0016,010092,2024,09,23,21.6
IDCJAC0016,010092,2024,09,24,18.7
IDCJAC0016,010092,2024,09,25,21.9
IDCJAC0016,010092,2024,09,26,21.7
IDCJAC0016,010092,2024,09,27,12.3
