Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,010092,2024,01,01,31.0,1,N
IDCJAC0010,010092,2024,01,02,28.0,1,N
IDCJAC0010,010092,2024,01,03,28.0,1,N
IDCJAC0010,010092,2024,01,04,29.0,1,N
IDCJAC0010,010092,2024,01,05,29.5,1,N
IDCJAC0010,010092,2024,01,06,32.5,1,N
IDCJAC0010,010092,2024,01,07,35.6,1,N
IDCJAC0010,010092,2024,01,08,42.0,1,N
IDCJAC0010,010092,2024,01,09,36.8,1,N
IDCJAC0010,010092,2024,01,10,36.0,1,N
IDCJAC0010,010092,2024,01,11,38.4,1,N
IDCJAC0010,010092,2024,01,12,35.0,1,N
IDCJAC0010,010092,2024,01,13,41.0,1,N
IDCJAC0010,010092,2024,01,14,28.6,1,N
IDCJAC0010,010092,2024,01,15,38.5,1,N
IDCJAC0010,010092,2024,01,16,41.0,1,N
IDCJAC0010,010092,2024,01,17,40.5,1,N
IDCJAC0010,010092,2024,01,18,34.8,1,N
IDCJAC0010,010092,2024,01,19,33.4,1,N
IDCJAC0010,010092,2024,01,20,37.2,1,N
IDCJAC0010,010092,2024,01,21,42.5,1,N
IDCJAC0010,010092,2024,01,22,35.0,1,N
IDCJAC0010,010092,2024,01,23,33.2,1,N
IDCJAC0010,010092,2024,01,24,36.0,1,N
IDCJAC0010,010092,2024,01,25,32.0,1,N
IDCJAC0010,010092,2024,01,26,30.0,1,N
IDCJAC0010,010092,2024,01,27,34.0,1,N
IDCJAC0010,010092,2024,01,28,34.5,1,N
IDCJAC0010,010092,2024,01,29,33.5,1,N
IDCJAC0010,010092,2024,01,30,38.5,1,N
IDCJAC0010,010092,2024,01,31,42.0,1,N
IDCJAC0010,010092,2024,02,01,42.5,1,N
IDCJAC0010,010092,2024,02,02,45.0,1,N
IDCJAC0010,010092,2024,02,03,39.5,1,N
IDCJAC0010,010092,2024,02,04,26.5,1,N
IDCJAC0010,010092,2024,02,05,27.0,1,N
IDCJAC0010,010092,2024,02,06,30.5,1,N
IDCJAC0010,010092,2024,02,07,34.0,1,N
IDCJAC0010,010092,2024,02,08,37.4,1,N
IDCJAC0010,010092,2024,02,09,39.5,1,N
IDCJAC0010,010092,2024,02,10,42.0,1,N
IDCJAC0010,010092,2024,02,11,44.0,1,N
IDCJAC0010,010092,2024,02,12,39.0,1,N
IDCJAC0010,010092,2024,02,13,34.0,1,N
IDCJAC0010,010092,2024,02,14,35.6,1,N
IDCJAC0010,010092,2024,02,15,41.5,1,N
IDCJAC0010,010092,2024,02,16,35.5,1,N
IDCJAC0010,010092,2024,02,17,40.4,1,N
IDCJAC0010,010092,2024,02,18,43.2,1,N
IDCJAC0010,010092,2024,02,19,45.0,1,N
IDCJAC0010,010092,2024,02,20,45.7,1,N
IDCJAC0010,010092,2024,02,21,,,
IDCJAC0010,010092,2024,02,22,40.0,2,N
IDCJAC0010,010092,2024,02,23,35.5,1,N
IDCJAC0010,010092,2024,02,24,31.5,1,N
IDCJAC0010,010092,2024,02,25,23.5,1,N
IDCJAC0010,010092,2024,02,26,32.0,1,N
IDCJAC0010,010092,2024,02,27,28.0,1,N
IDCJAC0010,010092,2024,02,28,32.0,1,N
IDCJAC0010,010092,2024,02,29,36.0,1,N
IDCJAC0010,010092,2024,03,01,32.0,1,N
IDCJAC0010,010092,2024,03,02,29.0,1,Y
IDCJAC0010,010092,2024,03,03,34.5,1,N
IDCJAC0010,010092,2024,03,04,31.0,1,N
IDCJAC0010,010092,2024,03,05,28.5,1,N
IDCJAC0010,010092,2024,03,06,30.5,1,N
IDCJAC0010,010092,2024,03,07,,,
IDCJAC0010,010092,2024,03,08,,,
IDCJAC0010,010092,2024,03,09,,,
IDCJAC0010,010092,2024,03,10,,,
IDCJAC0010,010092,2024,03,11,,,
IDCJAC0010,010092,2024,03,12,,,
IDCJAC0010,010092,2024,03,13,,,
IDCJAC0010,010092,2024,03,14,,,
IDCJAC0010,010092,2024,03,15,,,
IDCJAC0010,010092,2024,03,16,,,
IDCJAC0010,010092,2024,03,17,,,
IDCJAC0010,010092,2024,03,18,,,
IDCJAC0010,010092,2024,03,19,,,
IDCJAC0010,010092,2024,03,20,,,
IDCJAC0010,010092,2024,03,21,,,
IDCJAC0010,010092,2024,03,22,,,
IDCJAC0010,010092,2024,03,23,,,
IDCJAC0010,010092,2024,03,24,,,
IDCJAC0010,010092,2024,03,25,,,
IDCJAC0010,010092,2024,03,26,,,
IDCJAC0010,010092,2024,03,27,,,
IDCJAC0010,010092,2024,03,28,,,
IDCJAC0010,010092,2024,03,29,,,
IDCJAC0010,010092,2024,03,30,,,
IDCJAC0010,010092,2024,03,31,,,
IDCJAC0010,010092,2024,04,01,,,
IDCJAC0010,010092,2024,04,02,,,
IDCJAC0010,010092,2024,04,03,,,
IDCJAC0010,010092,2024,04,04,,,
IDCJAC0010,010092,2024,04,05,,,
IDCJAC0010,010092,2024,04,06,,,
IDCJAC0010,010092,2024,04,07,,,
IDCJAC0010,010092,2024,04,08,,,
IDCJAC0010,010092,2024,04,09,,,
IDCJAC0010,010092,2024,04,10,,,
IDCJAC0010,010092,2024,04,11,,,
IDCJAC0010,010092,2024,04,12,,,
IDCJAC0010,010092,2024,04,13,,,
IDCJAC0010,010092,2024,04,14,,,
IDCJAC0010,010092,2024,04,15,,,
IDCJAC0010,010092,2024,04,16,,,
IDCJAC0010,010092,2024,04,17,,,
IDCJAC0010,010092,2024,04,18,31.5,1,Y
IDCJAC0010,010092,2024,04,19,27.0,1,N
IDCJAC0010,010092,2024,04,20,28.4,1,N
IDCJAC0010,010092,2024,04,21,29.5,1,N
IDCJAC0010,010092,2024,04,22,23.8,1,N
IDCJAC0010,010092,2024,04,23,,,
IDCJAC0010,010092,2024,04,24,20.1,2,N
IDCJAC0010,010092,2024,04,25,22.0,1,N
IDCJAC0010,010092,2024,04,26,24.3,1,N
IDCJAC0010,010092,2024,04,27,27.0,1,N
IDCJAC0010,010092,2024,04,28,24.5,1,N
IDCJAC0010,010092,2024,04,29,23.5,1,N
IDCJAC0010,010092,2024,04,30,22.0,1,N
IDCJAC0010,010092,2024,05,01,23.5,1,Y
IDCJAC0010,010092,2024,05,02,28.5,1,Y
IDCJAC0010,010092,2024,05,03,25.5,1,Y
IDCJAC0010,010092,2024,05,04,,,
IDCJAC0010,010092,2024,05,05,,,
IDCJAC0010,010092,2024,05,06,22.0,3,Y
IDCJAC0010,010092,2024,05,07,25.1,1,Y
IDCJAC0010,010092,2024,05,08,24.8,1,Y
IDCJAC0010,010092,2024,05,09,26.5,1,Y
IDCJAC0010,010092,2024,05,10,28.4,1,Y
IDCJAC0010,010092,2024,05,11,27.8,1,Y
