Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,010092,1990,01,27.1
IDCJAC0003,010092,1990,02,24.7
IDCJAC0003,010092,1990,03,18.4
IDCJAC0003,010092,1990,04,15.6
IDCJAC0003,010092,1990,05,11.4
IDCJAC0003,010092,1990,06,9.5
IDCJAC0003,010092,1990,07,10.5
IDCJAC0003,010092,1990,08,11.5
IDCJAC0003,010092,1990,09,18.4
IDCJAC0003,010092,1990,10,22.0
IDCJAC0003,010092,1990,11,28.9
IDCJAC0003,010092,1990,12,29.8
IDCJAC0003,010092,1991,01,29.3
IDCJAC0003,010092,1991,02,26.7
IDCJAC0003,010092,1991,03,21.6
IDCJAC0003,010092,1991,04,15.7
IDCJAC0003,010092,1991,05,12.7
IDCJAC0003,010092,1991,06,8.8
IDCJAC0003,010092,1991,07,9.7
IDCJAC0003,010092,1991,08,13.6
IDCJAC0003,010092,1991,09,18.3
IDCJAC0003,010092,1991,10,24.4
IDCJAC0003,010092,1991,11,26.8
IDCJAC0003,010092,1991,12,28.1
IDCJAC0003,010092,1992,01,28.3
IDCJAC0003,010092,1992,02,22.8
IDCJAC0003,010092,1992,03,18.2
IDCJAC0003,010092,1992,04,15.2
IDCJAC0003,010092,1992,05,11.6
IDCJAC0003,010092,1992,06,9.4
IDCJAC0003,010092,1992,07,10.6
IDCJAC0003,010092,1992,08,11.3
IDCJAC0003,010092,1992,09,14.6
IDCJAC0003,010092,1992,10,22.7
IDCJAC0003,010092,1992,11,24.3
IDCJAC0003,010092,1992,12,29.3
IDCJAC0003,010092,1993,01,28.8
IDCJAC0003,010092,1993,02,25.0
IDCJAC0003,010092,1993,03,19.1
IDCJAC0003,010092,1993,04,15.5
IDCJAC0003,010092,1993,05,12.1
IDCJAC0003,010092,1993,06,9.2
IDCJAC0003,010092,1993,07,10.7
IDCJAC0003,010092,1993,08,11.2
IDCJAC0003,010092,1993,09,17.2
IDCJAC0003,010092,1993,10,24.2
IDCJAC0003,010092,1993,11,24.9
IDCJAC0003,010092,1993,12,30.7
IDCJAC0003,010092,1994,01,30.2
IDCJAC0003,010092,1994,02,23.1
IDCJAC0003,010092,1994,03,21.5
IDCJAC0003,010092,1994,04,17.1
IDCJAC0003,010092,1994,05,12.4
IDCJAC0003,010092,1994,06,10.4
IDCJAC0003,010092,1994,07,11.1
IDCJAC0003,010092,1994,08,15.6
IDCJAC0003,010092,1994,09,18.4
IDCJAC0003,010092,1994,10,21.5
IDCJAC0003,010092,1994,11,26.3
IDCJAC0003,010092,1994,12,29.3
IDCJAC0003,010092,1995,01,28.2
IDCJAC0003,010092,1995,02,24.1
IDCJAC0003,010092,1995,03,20.8
IDCJAC0003,010092,1995,04,16.8
IDCJAC0003,010092,1995,05,12.4
IDCJAC0003,010092,1995,06,9.0
IDCJAC0003,010092,1995,07,9.9
IDCJAC0003,010092,1995,08,14.8
IDCJAC0003,010092,1995,09,18.2
IDCJAC0003,010092,1995,10,24.8
IDCJAC0003,010092,1995,11,25.8
IDCJAC0003,010092,1995,12,26.8
IDCJAC0003,010092,1996,01,31.7
IDCJAC0003,010092,1996,02,27.4
IDCJAC0003,010092,1996,03,21.5
IDCJAC0003,010092,1996,04,16.2
IDCJAC0003,010092,1996,05,12.2
IDCJAC0003,010092,1996,06,9.6
IDCJAC0003,010092,1996,07,9.3
IDCJAC0003,010092,1996,08,13.3
IDCJAC0003,010092,1996,09,17.6
IDCJAC0003,010092,1996,10,24.7
IDCJAC0003,010092,1996,11,28.5
IDCJAC0003,010092,1996,12,30.7
IDCJAC0003,010092,1997,01,30.2
IDCJAC0003,010092,1997,02,23.7
IDCJAC0003,010092,1997,03,23.6
IDCJAC0003,010092,1997,04,13.7
IDCJAC0003,010092,1997,05,9.9
IDCJAC0003,010092,1997,06,9.7
IDCJAC0003,010092,1997,07,11.2
IDCJAC0003,010092,1997,08,14.1
IDCJAC0003,010092,1997,09,17.5
IDCJAC0003,010092,1997,10,24.8
IDCJAC0003,010092,1997,11,27.0
IDCJAC0003,010092,1997,12,28.8
IDCJAC0003,010092,1998,01,29.8
IDCJAC0003,010092,1998,02,25.8
IDCJAC0003,010092,1998,03,22.9
IDCJAC0003,010092,1998,04,15.5
IDCJAC0003,010092,1998,05,10.9
IDCJAC0003,010092,1998,06,9.8
IDCJAC0003,010092,1998,07,9.6
IDCJAC0003,010092,1998,08,12.2
IDCJAC0003,010092,1998,09,18.5
IDCJAC0003,010092,1998,10,24.7
IDCJAC0003,010092,1998,11,29.0
IDCJAC0003,010092,1998,12,29.5
IDCJAC0003,010092,1999,01,26.6
IDCJAC0003,010092,1999,02,27.0
IDCJAC0003,010092,1999,03,19.7
IDCJAC0003,010092,1999,04,17.9
IDCJAC0003,010092,1999,05,9.5
IDCJAC0003,010092,1999,06,10.6
IDCJAC0003,010092,1999,07,11.2
IDCJAC0003,010092,1999,08,14.2
IDCJAC0003,010092,1999,09,18.7
IDCJAC0003,010092,1999,10,24.5
IDCJAC0003,010092,1999,11,27.2
IDCJAC0003,010092,1999,12,27.6
IDCJAC0003,010092,2000,01,25.8
IDCJAC0003,010092,2000,02,27.2
IDCJAC0003,010092,2000,03,20.4
IDCJAC0003,010092,2000,04,15.8
IDCJAC0003,010092,2000,05,13.5
IDCJAC0003,010092,2000,06,10.1
