Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,010092,1990,27.1,24.7,18.4,15.6,11.4,9.5,10.5,11.5,18.4,22.0,28.9,29.8,19.0
IDCJAC0003,010092,1991,29.3,26.7,21.6,15.7,12.7,8.8,9.7,13.6,18.3,24.4,26.8,28.1,19.6
IDCJAC0003,010092,1992,28.3,22.8,18.2,15.2,11.6,9.4,10.6,11.3,14.6,22.7,24.3,29.3,18.2
IDCJAC0003,010092,1993,28.8,25.0,19.1,15.5,12.1,9.2,10.7,11.2,17.2,24.2,24.9,30.7,19.0
IDCJAC0003,010092,1994,30.2,23.1,21.5,17.1,12.4,10.4,11.1,15.6,18.4,21.5,26.3,29.3,19.7
IDCJAC0003,010092,1995,28.2,24.1,20.8,16.8,12.4,9.0,9.9,14.8,18.2,24.8,25.8,26.8,19.3
IDCJAC0003,010092,1996,31.7,27.4,21.5,16.2,12.2,9.6,9.3,13.3,17.6,24.7,28.5,30.7,20.2
IDCJAC0003,010092,1997,30.2,23.7,23.6,13.7,9.9,9.7,11.2,14.1,17.5,24.8,27.0,28.8,19.5
IDCJAC0003,010092,1998,29.8,25.8,22.9,15.5,10.9,9.8,9.6,12.2,18.5,24.7,29.0,29.5,19.9
IDCJAC0003,010092,1999,26.6,27.0,19.7,17.9,9.5,10.6,11.2,14.2,18.7,24.5,27.2,27.6,19.6
IDCJAC0003,010092,2000,25.8,27.2,20.4,15.8,13.5,10.1,9.7,13.4,19.4,24.8,28.4,30.4,19.9
IDCJAC0003,010092,2001,25.2,23.3,24.5,16.7,11.1,11.2,10.1,14.5,17.1,22.2,27.3,28.8,19.3
IDCJAC0003,010092,2002,28.1,26.9,23.0,14.2,12.0,9.4,10.7,14.6,20.4,23.2,29.0,28.9,20.0
IDCJAC0003,010092,2003,29.9,24.9,21.6,15.2,11.0,10.7,9.9,13.5,17.3,24.5,27.0,30.5,19.7
IDCJAC0003,010092,2004,29.5,26.1,22.2,15.9,11.9,9.1,10.8,14.1,18.5,22.6,25.9,30.8,19.8
IDCJAC0003,010092,2005,30.2,24.8,18.2,16.5,10.5,9.2,11.7,12.9,18.3,23.3,28.3,null,null
IDCJAC0003,010092,2006,26.9,26.6,22.6,15.7,12.3,11.2,11.2,14.3,18.4,23.7,25.3,29.4,19.8
IDCJAC0003,010092,2007,28.9,25.4,22.7,16.0,12.3,10.2,10.6,14.6,18.4,24.2,30.0,27.0,20.0
IDCJAC0003,010092,2008,29.5,23.5,20.2,14.8,12.4,10.2,10.0,14.7,17.2,21.3,25.9,30.6,19.2
IDCJAC0003,010092,2009,27.3,25.4,21.9,16.2,12.8,9.4,10.5,13.0,17.5,23.8,26.8,30.6,19.6
IDCJAC0003,010092,2010,31.0,25.7,20.5,15.9,12.5,10.4,11.2,14.3,19.4,25.8,28.5,26.5,20.1
IDCJAC0003,010092,2011,27.7,22.1,21.6,16.0,11.4,9.9,9.4,13.9,17.2,19.4,29.1,27.8,18.8
IDCJAC0003,010092,2012,27.7,25.0,23.1,16.0,12.5,9.7,11.2,14.6,18.9,23.7,24.3,29.9,19.7
IDCJAC0003,010092,2013,28.2,26.1,19.7,14.6,11.7,10.3,10.9,13.2,17.4,23.8,23.7,27.7,18.9
IDCJAC0003,010092,2014,27.9,25.7,20.4,15.4,11.5,10.6,10.5,13.3,17.4,22.6,25.5,31.2,19.3
IDCJAC0003,010092,2015,27.9,22.3,19.2,14.6,12.7,10.2,10.1,13.5,19.3,23.2,25.9,28.7,19.0
IDCJAC0003,010092,2016,24.6,27.9,18.7,13.4,12.4,10.2,11.3,12.9,18.2,22.5,27.2,28.1,18.9
IDCJAC0003,010092,2017,27.2,22.9,19.2,15.7,11.4,10.8,10.8,13.5,17.1,22.9,25.9,27.0,18.7
IDCJAC0003,010092,2018,26.8,23.0,20.1,15.3,12.6,10.0,11.5,13.2,18.9,19.9,25.9,27.5,18.7
IDCJAC0003,010092,2019,28.6,25.8,18.7,15.6,12.7,10.0,11.8,14.5,19.7,22.2,27.2,29.2,19.7
IDCJAC0003,010092,2020,28.7,22.2,19.9,14.8,12.0,11.0,12.3,13.7,18.2,21.9,25.1,29.6,19.1
IDCJAC0003,010092,2021,27.9,23.3,19.4,15.2,11.5,10.3,10.4,14.1,17.8,21.2,25.7,29.3,18.8
IDCJAC0003,010092,2022,29.6,25.6,19.0,14.5,12.1,10.6,11.3,13.6,17.1,21.3,25.6,29.4,19.1
IDCJAC0003,010092,2023,27.7,26.3,20.0,15.4,12.1,10.4,11.5,14.4,18.1,23.3,25.4,29.3,19.5
IDCJAC0003,010092,2024,28.2,24.5,20.1,16.2,12.2,9.8,11.6,13.8,18.8,null,null,null,null
