Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,010092,1903,01,2.8,Y
IDCJAC0001,010092,1903,02,15.5,Y
IDCJAC0001,010092,1903,03,1.3,Y
IDCJAC0001,010092,1903,04,32.5,Y
IDCJAC0001,010092,1903,05,24.6,Y
IDCJAC0001,010092,1903,06,21.6,Y
IDCJAC0001,010092,1903,07,27.4,Y
IDCJAC0001,010092,1903,08,43.2,Y
IDCJAC0001,010092,1903,09,47.0,Y
IDCJAC0001,010092,1903,10,22.9,Y
IDCJAC0001,010092,1903,11,7.1,Y
IDCJAC0001,010092,1903,12,3.3,Y
IDCJAC0001,010092,1904,01,0.0,Y
IDCJAC0001,010092,1904,02,0.0,Y
IDCJAC0001,010092,1904,03,28.4,Y
IDCJAC0001,010092,1904,04,10.2,Y
IDCJAC0001,010092,1904,05,19.8,Y
IDCJAC0001,010092,1904,06,55.9,Y
IDCJAC0001,010092,1904,07,84.1,Y
IDCJAC0001,010092,1904,08,20.1,Y
IDCJAC0001,010092,1904,09,85.6,Y
IDCJAC0001,010092,1904,10,60.2,Y
IDCJAC0001,010092,1904,11,5.8,Y
IDCJAC0001,010092,1904,12,44.7,Y
IDCJAC0001,010092,1905,01,2.8,Y
IDCJAC0001,010092,1905,02,9.1,Y
IDCJAC0001,010092,1905,03,0.0,Y
IDCJAC0001,010092,1905,04,8.1,Y
IDCJAC0001,010092,1905,05,64.8,Y
IDCJAC0001,010092,1905,06,24.6,Y
IDCJAC0001,010092,1905,07,42.4,Y
IDCJAC0001,010092,1905,08,26.9,Y
IDCJAC0001,010092,1905,09,45.5,Y
IDCJAC0001,010092,1905,10,4.3,Y
IDCJAC0001,010092,1905,11,10.7,Y
IDCJAC0001,010092,1905,12,32.0,Y
IDCJAC0001,010092,1906,01,5.1,Y
IDCJAC0001,010092,1906,02,4.8,Y
IDCJAC0001,010092,1906,03,0.0,Y
IDCJAC0001,010092,1906,04,1.5,Y
IDCJAC0001,010092,1906,05,41.9,Y
IDCJAC0001,010092,1906,06,36.3,Y
IDCJAC0001,010092,1906,07,83.3,Y
IDCJAC0001,010092,1906,08,34.3,Y
IDCJAC0001,010092,1906,09,20.8,Y
IDCJAC0001,010092,1906,10,9.4,Y
IDCJAC0001,010092,1906,11,11.4,Y
IDCJAC0001,010092,1906,12,7.9,Y
IDCJAC0001,010092,1907,01,15.5,Y
IDCJAC0001,010092,1907,02,2.5,Y
IDCJAC0001,010092,1907,03,30.5,Y
IDCJAC0001,010092,1907,04,6.6,Y
IDCJAC0001,010092,1907,05,29.2,Y
IDCJAC0001,010092,1907,06,42.2,Y
IDCJAC0001,010092,1907,07,74.6,Y
IDCJAC0001,010092,1907,08,36.1,Y
IDCJAC0001,010092,1907,09,21.5,Y
IDCJAC0001,010092,1907,10,5.6,Y
IDCJAC0001,010092,1907,11,1.0,Y
IDCJAC0001,010092,1907,12,0.0,Y
IDCJAC0001,010092,1908,01,0.0,Y
IDCJAC0001,010092,1908,02,9.1,Y
IDCJAC0001,010092,1908,03,17.5,Y
IDCJAC0001,010092,1908,04,31.5,Y
IDCJAC0001,010092,1908,05,64.2,Y
IDCJAC0001,010092,1908,06,27.2,Y
IDCJAC0001,010092,1908,07,45.0,Y
IDCJAC0001,010092,1908,08,16.7,Y
IDCJAC0001,010092,1908,09,7.6,Y
IDCJAC0001,010092,1908,10,3.1,Y
IDCJAC0001,010092,1908,11,32.5,Y
IDCJAC0001,010092,1908,12,7.1,Y
IDCJAC0001,010092,1909,01,8.6,Y
IDCJAC0001,010092,1909,02,5.3,Y
IDCJAC0001,010092,1909,03,7.9,Y
IDCJAC0001,010092,1909,04,42.0,Y
IDCJAC0001,010092,1909,05,33.9,Y
IDCJAC0001,010092,1909,06,61.8,Y
IDCJAC0001,010092,1909,07,42.8,Y
IDCJAC0001,010092,1909,08,86.2,Y
IDCJAC0001,010092,1909,09,25.9,Y
IDCJAC0001,010092,1909,10,14.7,Y
IDCJAC0001,010092,1909,11,14.5,Y
IDCJAC0001,010092,1909,12,0.0,Y
IDCJAC0001,010092,1910,01,0.5,Y
IDCJAC0001,010092,1910,02,27.9,Y
IDCJAC0001,010092,1910,03,0.0,Y
IDCJAC0001,010092,1910,04,2.8,Y
IDCJAC0001,010092,1910,05,57.5,Y
IDCJAC0001,010092,1910,06,95.1,Y
IDCJAC0001,010092,1910,07,91.2,Y
IDCJAC0001,010092,1910,08,16.4,Y
IDCJAC0001,010092,1910,09,6.4,Y
IDCJAC0001,010092,1910,10,21.1,Y
IDCJAC0001,010092,1910,11,8.7,Y
IDCJAC0001,010092,1910,12,0.0,Y
IDCJAC0001,010092,1911,01,20.9,Y
IDCJAC0001,010092,1911,02,4.3,Y
IDCJAC0001,010092,1911,03,4.3,Y
IDCJAC0001,010092,1911,04,8.6,Y
IDCJAC0001,010092,1911,05,18.0,Y
IDCJAC0001,010092,1911,06,15.0,Y
IDCJAC0001,010092,1911,07,39.4,Y
IDCJAC0001,010092,1911,08,24.3,Y
IDCJAC0001,010092,1911,09,10.9,Y
IDCJAC0001,010092,1911,10,7.6,Y
IDCJAC0001,010092,1911,11,0.0,Y
IDCJAC0001,010092,1911,12,1.8,Y
IDCJAC0001,010092,1912,01,22.1,Y
IDCJAC0001,010092,1912,02,0.6,Y
IDCJAC0001,010092,1912,03,1.3,Y
IDCJAC0001,010092,1912,04,25.5,Y
IDCJAC0001,010092,1912,05,38.2,Y
IDCJAC0001,010092,1912,06,5.9,Y
IDCJAC0001,010092,1912,07,80.9,Y
IDCJAC0001,010092,1912,08,15.8,N
IDCJAC0001,010092,1912,09,36.7,N
IDCJAC0001,010092,1912,10,21.8,N
IDCJAC0001,010092,1912,11,5.3,N
IDCJAC0001,010092,1912,12,23.4,N
IDCJAC0001,010092,1913,01,0.0,Y
IDCJAC0001,010092,1913,02,0.0,Y
IDCJAC0001,010092,1913,03,2.3,Y
IDCJAC0001,010092,1913,04,9.3,Y
IDCJAC0001,010092,1913,05,8.1,Y
IDCJAC0001,010092,1913,06,70.9,Y
IDCJAC0001,010092,1913,07,28.3,Y
IDCJAC0001,010092,1913,08,60.0,Y
IDCJAC0001,010092,1913,09,34.9,Y
IDCJAC0001,010092,1913,10,26.0,Y
IDCJAC0001,010092,1913,11,1.3,Y
IDCJAC0001,010092,1913,12,57.2,Y
IDCJAC0001,010092,1914,01,2.0,Y
IDCJAC0001,010092,1914,02,0.8,Y
