Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,010092,1903,2.8,15.5,1.3,32.5,24.6,21.6,27.4,43.2,47.0,22.9,7.1,3.3,249.2
IDCJAC0001,010092,1904,0.0,0.0,28.4,10.2,19.8,55.9,84.1,20.1,85.6,60.2,5.8,44.7,414.8
IDCJAC0001,010092,1905,2.8,9.1,0.0,8.1,64.8,24.6,42.4,26.9,45.5,4.3,10.7,32.0,271.2
IDCJAC0001,010092,1906,5.1,4.8,0.0,1.5,41.9,36.3,83.3,34.3,20.8,9.4,11.4,7.9,256.7
IDCJAC0001,010092,1907,15.5,2.5,30.5,6.6,29.2,42.2,74.6,36.1,21.5,5.6,1.0,0.0,265.3
IDCJAC0001,010092,1908,0.0,9.1,17.5,31.5,64.2,27.2,45.0,16.7,7.6,3.1,32.5,7.1,261.5
IDCJAC0001,010092,1909,8.6,5.3,7.9,42.0,33.9,61.8,42.8,86.2,25.9,14.7,14.5,0.0,343.6
IDCJAC0001,010092,1910,0.5,27.9,0.0,2.8,57.5,95.1,91.2,16.4,6.4,21.1,8.7,0.0,327.6
IDCJAC0001,010092,1911,20.9,4.3,4.3,8.6,18.0,15.0,39.4,24.3,10.9,7.6,0.0,1.8,155.1
IDCJAC0001,010092,1912,22.1,0.6,1.3,25.5,38.2,5.9,80.9,15.8,36.7,21.8,5.3,23.4,277.5
IDCJAC0001,010092,1913,0.0,0.0,2.3,9.3,8.1,70.9,28.3,60.0,34.9,26.0,1.3,57.2,298.3
IDCJAC0001,010092,1914,2.0,0.8,0.5,7.9,2.3,27.9,28.6,17.8,0.0,25.7,16.8,0.0,130.3
IDCJAC0001,010092,1915,55.8,45.4,10.5,14.1,55.9,38.6,58.5,48.3,28.2,22.7,0.0,0.0,378.0
IDCJAC0001,010092,1916,34.9,5.1,13.0,6.6,28.5,54.0,52.2,49.3,17.0,34.4,22.2,0.3,317.5
IDCJAC0001,010092,1917,0.0,1.9,120.1,12.0,46.0,81.5,116.9,53.4,54.0,47.2,17.8,14.2,565.0
IDCJAC0001,010092,1918,15.5,62.1,15.6,52.4,38.8,73.4,44.0,43.0,25.0,29.0,31.0,2.5,432.3
IDCJAC0001,010092,1919,1.5,0.0,26.4,108.6,6.0,38.4,66.4,37.0,14.5,55.2,11.4,4.1,369.5
IDCJAC0001,010092,1920,19.5,10.8,66.5,35.3,38.1,64.1,55.1,67.1,25.3,8.5,12.7,0.0,403.0
IDCJAC0001,010092,1921,9.1,6.8,7.4,0.8,117.3,57.2,35.1,39.1,31.5,23.3,0.5,30.8,358.9
IDCJAC0001,010092,1922,0.0,18.8,43.8,24.1,53.9,10.0,94.5,25.1,17.8,2.5,4.3,12.5,307.3
IDCJAC0001,010092,1923,4.8,20.1,6.6,46.0,53.3,131.0,32.1,19.6,36.5,8.7,0.0,92.5,451.2
IDCJAC0001,010092,1924,0.0,6.9,17.3,12.2,54.7,57.6,25.9,48.1,35.1,52.9,11.7,0.8,323.2
IDCJAC0001,010092,1925,46.7,34.1,12.7,11.5,36.9,51.3,41.2,6.2,22.9,11.7,1.8,24.3,301.3
IDCJAC0001,010092,1926,0.0,6.9,56.8,15.5,27.8,48.4,74.4,23.2,25.8,24.1,9.6,1.3,313.8
IDCJAC0001,010092,1927,6.4,1.3,161.0,12.0,14.7,48.8,40.9,30.1,67.5,17.1,5.6,17.0,422.4
IDCJAC0001,010092,1928,12.1,0.0,29.7,19.6,24.0,32.0,56.1,40.6,16.3,6.9,0.0,24.6,261.9
IDCJAC0001,010092,1929,11.9,49.1,23.3,0.5,90.4,98.8,34.9,32.5,5.4,13.2,59.1,0.3,419.4
IDCJAC0001,010092,1930,0.0,0.3,54.1,69.2,13.0,95.1,56.7,46.0,23.1,9.7,0.0,7.9,375.1
IDCJAC0001,010092,1931,0.0,2.0,0.5,57.1,60.0,32.5,64.3,68.2,27.2,17.4,10.7,12.4,352.3
IDCJAC0001,010092,1932,18.3,3.6,17.3,13.0,43.9,23.4,73.7,72.7,20.1,75.2,0.0,3.8,365.0
IDCJAC0001,010092,1933,5.8,0.0,4.8,5.6,45.3,63.0,35.4,50.6,16.0,31.2,12.8,7.1,277.6
IDCJAC0001,010092,1934,19.8,3.3,43.3,113.6,6.6,50.4,60.5,48.3,31.0,11.2,18.0,4.3,410.3
IDCJAC0001,010092,1935,13.4,10.1,10.4,21.2,16.4,21.5,67.3,65.7,23.1,34.3,2.0,6.1,291.5
IDCJAC0001,010092,1936,23.3,0.5,13.3,2.8,22.9,58.7,36.6,43.8,13.8,3.5,4.6,31.2,255.0
IDCJAC0001,010092,1937,5.1,0.8,12.4,15.2,59.7,41.7,11.8,50.5,11.6,7.4,19.8,2.5,238.5
IDCJAC0001,010092,1938,14.5,0.8,22.6,19.9,21.6,42.9,46.7,22.1,28.7,7.5,12.5,5.4,245.2
IDCJAC0001,010092,1939,4.6,69.6,0.3,11.1,56.5,66.9,59.1,55.5,3.6,42.4,30.0,0.0,399.6
IDCJAC0001,010092,1940,1.4,0.0,2.0,2.8,15.4,30.2,40.2,6.9,16.3,36.8,5.6,55.1,212.7
IDCJAC0001,010092,1941,0.0,8.4,4.3,23.0,59.3,88.0,44.0,39.1,33.6,17.4,9.9,17.9,344.9
IDCJAC0001,010092,1942,8.9,12.1,39.3,39.5,44.1,44.7,48.9,48.0,32.0,11.8,16.0,67.4,412.7
IDCJAC0001,010092,1943,15.7,80.0,77.4,48.5,31.0,64.7,50.5,62.4,28.2,6.9,12.4,21.9,499.6
IDCJAC0001,010092,1944,4.5,0.5,6.9,16.5,67.6,19.9,76.4,53.3,10.2,1.8,0.5,5.1,263.2
IDCJAC0001,010092,1945,0.0,1.8,26.4,8.1,44.4,118.6,31.5,85.2,25.8,2.8,1.5,4.6,350.7
