"Daily Weather Observations for Merredin, Western Australia for September 2024"
"Prepared at 08:20 UTC on Saturday 28 September 2024   IDCJDW6084.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Merredin {station 010092}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,9.6,19.9,0.2,3.6,,,,,13.0,100,4,NW,9,,,,,,,
,2024-09-2,6.6,25.6,0,3.4,,,,,14.5,84,0,ENE,56,,,,,,,
,2024-09-3,11.4,22.6,0,5.0,,,,,19.5,68,4,NW,19,,,,,,,
,2024-09-4,7.6,21.5,0,3.2,,,,,14.5,94,1,NNW,37,,,,,,,
,2024-09-5,9.4,13.1,0.2,4.2,,,,,12.1,93,8,NW,37,,,,,,,
,2024-09-6,1.0,17.9,2.8,1.6,,,,,10.2,97,1,NW,9,,,,,,,
,2024-09-7,2.6,19.6,0,2.6,,,,,13.2,91,1, ,Calm,,,,,,,
,2024-09-8,3.4,21.5,0,2.8,,,,,13.5,89,0,SSE,6,,,,,,,
,2024-09-9,8.5,24.2,0,3.2,,,,,17.2,69,7,NE,19,,,,,,,
,2024-09-10,5.1,21.0,0,3.0,,,,,12.5,100,8,SE,28,,,,,,,
,2024-09-11,8.6,24.6,0,4.6,,,,,13.0,92,1,NE,37,,,,,,,
,2024-09-12,8.6,26.1,0,4.0,,,,,17.2,81,0,E,28,,,,,,,
,2024-09-13,11.5,26.8,0,8.0,,,,,20.5,71,0,NE,22,,,,,,,
,2024-09-14,10.7,25.4,0,7.0,,,,,15.1,78,7,E,37,,,,,,,
,2024-09-15,10.0,21.5,0,7.4,,,,,14.0,89,0,E,56,,,,,,,
,2024-09-16,9.0,22.6,0,7.0,,,,,15.0,79,0,E,37,,,,,,,
,2024-09-17,9.9,27.1,0,5.2,,,,,19.0,73,0,N,19,,,,,,,
,2024-09-18,11.3,26.0,0,7.0,,,,,17.0,80,0,E,6,,,,,,,
,2024-09-19,11.0,22.6,0,5.6,,,,,16.0,71,7,SE,28,,,,,,,
,2024-09-20,7.5,22.6,0,6.0,,,,,15.0,79,0,ESE,19,,,,,,,
,2024-09-21,6.1,22.5,0,5.0,,,,,14.0,83,0,SSE,28,,,,,,,
,2024-09-22,9.1,28.5,0,5.6,,,,,16.0,79,0,E,28,,,,,,,
,2024-09-23,9.1,28.6,0,6.0,,,,,18.0,73,0, ,Calm,,,,,,,
,2024-09-24,11.6,21.5,0,5.2,,,,,14.9,90,8,S,9,,,,,,,
,2024-09-25,5.5,22.0,0,6.8,,,,,12.5,85,0,E,19,,,,,,,
,2024-09-26,12.0,29.6,0,8.0,,,,,17.8,82,1,NE,56,,,,,,,
,2024-09-27,10.1,20.4,3.4,4.8,,,,,15.5,94,6,NNW,13,,,,,,,
,2024-09-28,2.9,,2.0,3.4,,,,,11.0,87,2,W,9,,,,,,,
