Date,Daily Rainfall (mm),Monthly Rainfall (mm),Station Name,Region Name
1990-01-01,10.277659152680489,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-02,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-03,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-04,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-05,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-06,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-07,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-08,3.657470106586067,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-09,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-10,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-11,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-12,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-13,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-14,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-15,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-16,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-17,9.06385094577682,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-18,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-19,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-20,0.38871735942184116,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-21,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-22,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-23,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-24,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-25,2.1829849976412268,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-26,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-27,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-28,2.8136601287944982,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-29,1.5146228759671108,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-30,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-01-31,0.0,29.898965566868053,Merredin,"Wheatbelt, Western Australia"
1990-02-01,4.5661026239920925,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-02,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-03,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-04,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-05,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-06,0.6472987744150721,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-07,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-08,5.592456618675048,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-09,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-10,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-11,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-12,2.591882996492925,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-13,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-14,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-15,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-16,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-17,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-18,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-19,2.890017162509597,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-20,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-21,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-22,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-23,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-24,3.6718740211006335,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-25,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-26,1.0113773983810768,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-27,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-02-28,0.0,20.971009595566446,Merredin,"Wheatbelt, Western Australia"
1990-03-01,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-02,10.854270052620263,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-03,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-04,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-05,5.864206418905019,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-06,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-07,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-08,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-09,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-10,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-11,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-12,2.331282857048392,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-13,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-14,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-15,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-16,1.9463691107910757,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-17,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-18,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-19,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-20,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-21,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-22,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-23,7.129242675073937,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-24,3.160220642851495,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-25,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-26,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-27,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-28,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-29,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-30,0.0,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-03-31,11.209616682568624,42.49520843985881,Merredin,"Wheatbelt, Western Australia"
1990-04-01,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-02,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-03,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-04,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-05,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-06,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-07,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-08,5.421085414289579,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-09,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-10,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-11,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-12,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-13,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-14,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-15,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-16,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-17,0.985518594025354,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-18,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-19,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-20,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-21,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-22,2.468086306196572,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-23,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-24,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-25,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-26,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-27,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-28,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-29,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-04-30,0.0,8.874690314511506,Merredin,"Wheatbelt, Western Australia"
1990-05-01,4.221303712891517,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-02,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-03,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-04,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-05,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-06,2.2738975893260767,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-07,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-08,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-09,3.96947904150803,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-10,0.8426882677377001,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-11,2.2149413280235213,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-12,2.118957464297049,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-13,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-14,1.1505759738029357,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-15,5.784579428126249,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-16,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-17,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-18,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-19,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-20,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-21,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-22,4.867840201939368,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-23,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-24,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-25,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-26,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-27,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-28,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-29,3.199439037076259,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-30,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-05-31,0.0,30.643702044728705,Merredin,"Wheatbelt, Western Australia"
1990-06-01,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-02,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-03,11.363201276088711,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-04,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-05,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-06,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-07,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-08,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-09,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-10,1.2973455475151239,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-11,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-12,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-13,2.2391983952223735,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-14,13.522393736675351,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-15,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-16,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-17,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-18,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-19,4.383015428560614,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-20,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
1990-06-21,0.0,36.179049943891165,Merredin,"Wheatbelt, Western Australia"
