Region,Elevation (m),Slope Gradient (%),Aspect (°)
Merredin,223.12442635695086,3.0849041088811715,260
Merredin,311.0074544773107,3.2081505330582663,65
Merredin,239.4972522777702,2.941509654650839,300
Merredin,280.06090900704464,4.07253661625769,203
Merredin,202.18624437281295,1.6428670125022804,245
Kununurra,187.81205121498274,8.11648360271103,324
Kununurra,185.10722811755184,2.1664783836165293,181
Kununurra,55.013214143951686,3.081681426952935,203
Kununurra,193.54240044126752,2.9301841392135186,309
Kununurra,70.58139820341147,4.479180675920234,107
Manjimup,156.76567059158918,9.043073806908023,175
Manjimup,221.2166368717658,7.241068004250127,60
Manjimup,288.84502721060846,10.345514682414242,170
Manjimup,270.547108221857,5.606281051774982,198
Manjimup,100.45184670370271,9.598133798514036,326
