Date,9am Wind Direction,9am Wind Speed (km/h),3pm Wind Direction,3pm Wind Speed (km/h),Station Name,Region Name
1990-01-01,E,23.82026172983832,NE,23.82026172983832,Merredin,"Wheatbelt, Western Australia"
1990-01-02,NW,17.000786041836115,SW,17.000786041836115,Merredin,"Wheatbelt, Western Australia"
1990-01-03,E,19.893689920528697,E,19.893689920528697,Merredin,"Wheatbelt, Western Australia"
1990-01-04,SE,26.20446599600729,SE,26.20446599600729,Merredin,"Wheatbelt, Western Australia"
1990-01-05,NE,24.337789950749837,S,24.337789950749837,Merredin,"Wheatbelt, Western Australia"
1990-01-06,S,10.113610600617946,SW,10.113610600617946,Merredin,"Wheatbelt, Western Australia"
1990-01-07,SW,19.750442087627945,E,19.750442087627945,Merredin,"Wheatbelt, Western Australia"
1990-01-08,SE,14.243213958511511,SW,14.243213958511511,Merredin,"Wheatbelt, Western Australia"
1990-01-09,N,14.48390574103221,NW,14.48390574103221,Merredin,"Wheatbelt, Western Australia"
1990-01-10,E,17.05299250969186,NW,17.05299250969186,Merredin,"Wheatbelt, Western Australia"
1990-01-11,S,15.720217855804389,S,15.720217855804389,Merredin,"Wheatbelt, Western Australia"
1990-01-12,SE,22.271367534814875,SW,22.271367534814875,Merredin,"Wheatbelt, Western Australia"
1990-01-13,N,18.805188625734967,NW,18.805188625734967,Merredin,"Wheatbelt, Western Australia"
1990-01-14,N,15.608375082464143,W,15.608375082464143,Merredin,"Wheatbelt, Western Australia"
1990-01-15,SW,17.21931616372713,NW,17.21931616372713,Merredin,"Wheatbelt, Western Australia"
1990-01-16,E,16.668371636871335,NW,16.668371636871335,Merredin,"Wheatbelt, Western Australia"
1990-01-17,NE,22.47039536578803,S,22.47039536578803,Merredin,"Wheatbelt, Western Australia"
1990-01-18,E,13.974208681170996,E,13.974208681170996,Merredin,"Wheatbelt, Western Australia"
1990-01-19,W,16.565338508254506,SW,16.565338508254506,Merredin,"Wheatbelt, Western Australia"
1990-01-20,SW,10.729521303491376,NE,10.729521303491376,Merredin,"Wheatbelt, Western Australia"
1990-01-21,SE,2.2350509208296074,SE,2.2350509208296074,Merredin,"Wheatbelt, Western Australia"
1990-01-22,N,18.268092977201803,S,18.268092977201803,Merredin,"Wheatbelt, Western Australia"
1990-01-23,SW,19.32218099429753,E,19.32218099429753,Merredin,"Wheatbelt, Western Australia"
1990-01-24,W,11.28917489796779,E,11.28917489796779,Merredin,"Wheatbelt, Western Australia"
1990-01-25,NW,26.348773119938038,N,26.348773119938038,Merredin,"Wheatbelt, Western Australia"
1990-01-26,S,7.728171627006176,NW,7.728171627006176,Merredin,"Wheatbelt, Western Australia"
1990-01-27,S,15.22879258650723,SE,15.22879258650723,Merredin,"Wheatbelt, Western Australia"
1990-01-28,NE,14.064080749870833,SW,14.064080749870833,Merredin,"Wheatbelt, Western Australia"
1990-01-29,SE,22.663896071792287,SE,22.663896071792287,Merredin,"Wheatbelt, Western Australia"
1990-01-30,N,22.346793849501424,SE,22.346793849501424,Merredin,"Wheatbelt, Western Australia"
